name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Stevie Lynch,,Orthodox,361,16.36,59.91,0.1,0.0,30.83,0.0,0.0,2.16,5,2,0,5,2,0,1,0,Unranked,Unranked,['welterweight'],welterweight,,25.6,1.53,25.0,0.0,52.56,43.32,0.0,0.0,0.0,0.23,0.0,0.0,,0.0,82.66,0.0
James Giboo,,Orthodox,362,16.0,57.9,0.67,0.0,30.16,0.0,0.0,3.18,13,5,0,13,5,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1978/01/06,12.43,1.79,27.0,0.0,49.99,43.16,0.0,3.56,0.0,0.35,0.0,0.0,,0.0,100.0,0.0
Jonathan Micallef,The Captain,Southpaw,363,14.91,0.0,21.27,61.33,0.0,2.86,23.26,1.02,8,1,0,8,1,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1999/03/05,49.44,0.0,,7.69,,67.9,10.08,0.0,50.0,0.11,50.0,0.0,16.96,0.0,100.0,100.0
Augusto Montano,Dodger,Orthodox,364,14.84,0.0,0.47,58.28,0.0,2.95,93.02,3.29,15,3,0,15,3,0,3,0,Unranked,Unranked,['welterweight'],welterweight,1984/10/25,35.85,0.0,,0.0,,78.65,0.0,0.0,0.0,1.08,65.99,0.0,0.0,0.0,100.0,14.81
Jason Tan,,Orthodox,365,14.76,57.58,1.11,0.0,23.02,0.04,0.0,6.19,5,3,0,5,3,0,2,0,Unranked,Unranked,['welterweight'],welterweight,1981/12/17,7.15,1.46,29.01,0.0,23.07,40.84,0.0,3.56,0.0,1.36,0.0,0.0,,0.0,100.0,0.0
Tom Egan,,Orthodox,366,14.74,43.49,0.0,0.0,38.42,0.0,0.0,0.0,7,5,0,7,5,0,1,0,Unranked,Unranked,['welterweight'],welterweight,,0.0,0.05,0.0,0.0,64.1,68.62,0.0,0.0,0.0,0.0,28.0,0.0,,0.0,100.0,0.0
Brandon Wolff,,Orthodox,367,14.41,58.69,0.29,0.0,20.96,0.04,0.0,2.16,7,5,0,7,5,0,2,0,Unranked,Unranked,['welterweight'],welterweight,1975/10/18,4.87,0.33,33.0,0.0,24.35,12.42,0.0,0.6,0.0,0.48,0.0,0.0,,0.0,82.66,0.0
Ryan Madigan,,Orthodox,368,14.19,43.49,0.0,0.0,35.33,0.0,0.0,0.0,5,3,0,5,3,0,1,0,Unranked,Unranked,['welterweight'],welterweight,,0.0,0.12,0.0,0.0,60.25,73.11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Jesse Sanders,,Orthodox,369,13.89,43.5,0.0,0.0,33.68,0.0,0.0,0.0,23,7,0,23,7,0,1,0,Unranked,Unranked,['welterweight'],welterweight,,0.0,0.17,0.0,0.0,44.87,48.22,0.0,0.0,0.0,0.0,50.0,0.0,,0.0,82.66,0.0
Billy Miles,The Kid,Orthodox,370,13.68,43.5,0.29,0.0,32.12,0.0,0.0,2.16,2,2,0,2,2,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1978/04/28,0.0,0.17,0.0,0.0,42.31,89.97,0.0,1.19,0.0,0.23,0.0,0.0,,0.0,82.66,0.0
