name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Hannah Goldy,24K,Orthodox,59,33.7,75.9,17.74,0.0,46.84,3.22,100.0,22.85,6,4,0,6,4,0,5,0,Unranked,Unranked,"[""women's strawweight"", ""women's flyweight""]",women's flyweight,1992/05/18,33.44,40.19,60.72,0.0,36.84,65.31,8.89,25.5,12.01,11.2,53.99,0.0,,15.33,100.0,13.33
Barb Honchak,Little Warrior,Orthodox,60,29.9,60.06,0.29,69.87,44.05,9.16,0.0,1.78,10,4,0,10,4,0,2,0,Unranked,4.0,"[""women's flyweight""]",women's flyweight,1979/08/30,24.25,6.46,0.0,0.0,78.93,65.31,0.0,1.01,0.0,0.36,0.0,28.57,46.42,0.0,100.0,0.0
Nicolle Caliari,,Orthodox,61,28.51,67.76,39.22,0.0,42.71,0.0,0.0,36.27,8,3,0,8,3,0,1,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1996/11/04,22.75,13.4,39.28,0.0,49.99,55.63,51.15,14.27,28.99,3.56,0.0,0.0,,0.0,100.0,11.11
Isabela de Padua,Belinha,Orthodox,62,27.81,57.64,44.21,0.0,42.85,0.0,0.0,47.29,5,2,0,5,2,0,1,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1991/09/04,0.0,3.4,17.84,0.0,36.84,93.24,26.91,3.04,66.0,4.64,0.0,0.0,,0.0,100.0,11.11
Christina Marks,,Orthodox,63,27.27,0.0,89.87,57.68,0.0,0.0,0.0,6.95,8,9,0,8,9,0,1,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1985/11/08,31.92,0.0,,0.0,,83.25,100.0,1.01,100.0,0.68,0.0,0.0,0.0,0.0,80.01,0.0
Brogan Walker,The Bear,Switch,64,24.7,56.55,1.02,60.22,35.88,0.05,0.0,11.86,8,4,0,8,4,0,2,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1988/08/02,8.3,11.71,0.0,0.0,28.94,75.73,0.0,0.0,0.0,2.32,11.02,0.0,0.0,0.0,100.0,0.0
Melinda Fabian,,Orthodox,65,23.62,73.86,0.32,0.0,56.91,0.05,0.0,2.2,4,4,2,4,4,2,2,0,Unranked,13.0,"[""women's flyweight""]",women's flyweight,1987/06/25,24.18,23.42,39.28,33.34,68.41,72.51,0.0,1.01,0.0,0.44,100.0,0.0,,0.0,100.0,11.11
Sarah Frota,A Treta,Southpaw,66,22.29,76.48,2.0,0.0,44.86,0.05,0.0,23.39,9,2,0,9,2,0,2,0,Unranked,Unranked,"[""women's flyweight"", ""women's strawweight""]",women's flyweight,1987/04/14,28.08,8.88,78.56,0.0,49.99,87.86,0.0,0.0,0.0,4.58,53.0,0.0,,0.0,100.0,0.0
Liliya Shakirova,,Orthodox,67,19.47,57.51,0.64,0.0,49.9,0.0,0.0,4.92,8,2,0,8,2,0,1,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1991/10/24,13.56,6.06,0.0,0.0,100.0,87.75,0.0,3.04,0.0,0.48,0.0,0.0,,0.0,80.01,0.0
DeAnna Bennett,The Argentine Assassin,Orthodox,68,11.0,0.0,5.81,67.07,0.0,4.56,0.0,100.0,8,3,1,8,3,1,1,0,Unranked,6.0,"[""women's flyweight""]",women's flyweight,1984/11/18,17.0,0.0,,0.0,,80.34,0.0,11.23,0.0,9.8,0.0,14.27,35.72,0.0,100.0,11.11
Ariel Beck,,Southpaw,69,7.84,0.0,0.06,60.22,0.0,0.0,0.0,1.53,4,5,0,4,5,0,1,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1990/09/16,27.46,0.0,,0.0,,69.18,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,100.0,0.0
Yuneisy Duben,,Orthodox,70,7.83,0.0,0.0,60.22,0.0,0.0,0.0,0.0,6,1,0,6,1,0,1,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1996/07/08,100.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Karine Gevorgyan,The Princess,Unknown,71,7.6,0.0,0.44,57.68,0.0,0.0,0.0,3.73,3,3,0,3,3,0,1,0,Unranked,Unranked,"[""women's flyweight""]",women's flyweight,1989/03/09,1.6,0.0,,0.0,,96.13,0.0,2.03,0.0,0.36,0.0,0.0,0.0,0.0,80.01,0.0
