name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Marion Reneau,The Belizean Bruiser,Orthodox,23,54.26,68.43,47.12,81.31,62.37,19.31,79.07,22.01,9,8,1,9,8,1,13,0,Unranked,6.0,"[""women's bantamweight""]",women's bantamweight,1977/06/20,34.84,45.86,51.17,0.0,68.9,66.89,9.64,14.67,63.0,28.24,50.01,70.0,19.59,50.01,100.0,39.31
Joselyne Edwards,La Pantera,Orthodox,24,53.4,79.42,45.68,70.57,70.69,17.74,46.51,37.28,15,6,0,15,6,0,10,0,Unranked,14.0,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1995/09/29,56.05,50.33,79.07,0.0,46.67,71.27,20.35,38.67,41.01,35.87,61.0,20.0,14.69,25.01,100.0,64.44
Stephanie Egger,,Orthodox,25,49.49,66.62,46.38,69.11,54.65,8.93,93.02,32.87,8,5,0,8,5,0,7,0,Unranked,Unranked,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1988/08/12,19.89,12.2,62.79,0.0,53.35,81.13,38.52,28.0,42.0,22.13,50.01,9.99,14.69,50.01,50.0,26.99
Gina Mazany,Danger,Southpaw,26,49.2,76.44,69.54,59.31,39.02,6.08,58.14,48.56,7,6,0,7,6,0,8,0,Unranked,15.0,"[""women's flyweight"", ""women's bantamweight""]",women's bantamweight,1988/08/19,42.76,11.47,72.09,15.12,48.9,66.89,67.38,48.01,51.99,37.05,33.01,9.99,4.9,0.0,75.0,0.0
Jessica-Rose Clark,,Orthodox,27,49.0,73.97,55.4,52.78,56.73,16.25,40.7,67.92,11,9,0,11,9,0,9,0,Unranked,7.0,"[""women's bantamweight"", ""women's flyweight""]",women's bantamweight,1987/11/28,42.76,19.51,74.41,0.0,66.67,67.04,25.78,37.34,42.0,57.94,62.0,0.0,7.34,0.0,25.0,24.69
Daria Zhelezniakova,Iron Lady,Orthodox,28,47.29,70.19,53.68,57.54,69.17,5.87,23.26,1.81,10,2,0,10,2,0,3,0,Unranked,15.0,"[""women's bantamweight""]",women's bantamweight,1996/01/23,58.0,11.63,51.17,0.0,88.88,76.34,6.84,1.35,100.0,0.62,50.01,0.0,0.0,0.0,75.0,44.44
Melissa Mullins,No Mess,Orthodox,29,47.15,73.19,44.31,60.59,61.0,5.91,58.14,72.18,7,2,0,7,2,0,4,0,Unranked,15.0,"[""women's bantamweight""]",women's bantamweight,1991/07/23,42.44,17.43,72.09,0.0,53.35,54.98,31.53,18.68,42.0,27.17,84.99,0.0,0.0,0.0,100.0,36.11
Nora Cornolle,,Orthodox,30,47.14,76.6,12.97,68.34,82.19,8.8,69.77,29.67,9,2,0,9,2,0,4,0,Unranked,12.0,"[""women's bantamweight""]",women's bantamweight,1989/12/06,32.89,3.65,81.4,15.12,75.56,88.92,5.14,12.02,11.0,11.32,50.01,9.99,7.34,25.01,100.0,77.78
Sarah Kaufman,,Orthodox,31,46.5,77.85,36.83,57.54,65.25,16.03,23.26,37.2,18,4,0,18,4,0,4,0,Unranked,2.0,"[""women's bantamweight""]",women's bantamweight,1985/09/20,86.4,9.32,62.79,0.0,75.56,60.33,5.91,6.68,57.01,14.13,81.0,0.0,0.0,0.0,75.0,36.11
Pannie Kianzad,Banzai,Orthodox,32,46.21,79.39,30.55,55.8,59.18,25.73,23.26,25.28,17,9,0,17,9,0,11,0,Unranked,6.0,"[""women's bantamweight"", ""ultimate fighter 28 women's featherweight tournament""]",women's bantamweight,1991/12/08,59.95,75.82,69.78,0.0,51.12,59.11,6.38,16.0,33.01,27.2,64.99,9.99,2.44,0.0,50.0,37.38
Bethe Correia,Pitbull,Orthodox,33,46.05,73.62,24.88,57.54,58.98,30.11,37.21,21.01,11,6,1,11,6,1,12,0,Unranked,5.0,"[""women's bantamweight""]",women's bantamweight,1983/06/22,52.32,61.45,55.81,0.0,62.23,47.61,6.07,29.35,18.0,27.76,84.99,0.0,0.0,0.0,75.0,28.7
Lucie Pudilova,,Orthodox,34,45.88,77.81,39.95,61.12,54.91,9.11,46.51,45.33,14,10,0,14,10,0,11,0,Unranked,12.0,"[""women's bantamweight"", ""women's flyweight""]",women's bantamweight,1994/06/13,40.81,100.0,41.86,30.25,48.9,59.37,10.89,29.35,31.0,47.75,66.99,9.99,14.69,0.0,75.0,28.28
Julia Avila,Raging Panda,Orthodox,35,45.46,68.68,29.91,64.83,62.5,8.89,69.77,31.38,9,4,0,9,4,0,6,0,Unranked,11.0,"[""women's bantamweight""]",women's bantamweight,1988/05/11,29.01,0.78,53.48,15.12,60.0,70.17,9.8,10.67,37.0,18.1,52.01,9.99,4.9,25.01,75.0,42.59
Montserrat Rendon,Monster,Orthodox,36,44.92,58.48,50.81,60.59,72.6,2.94,23.26,76.9,6,1,0,6,1,0,2,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1989/03/16,33.79,13.06,20.93,0.0,57.79,61.69,46.58,14.67,54.01,14.3,100.0,0.0,0.0,0.0,100.0,55.56
Lina Lansberg,Elbow Queen,Orthodox,37,44.35,80.48,38.32,58.85,47.56,16.34,23.26,48.4,10,8,0,10,8,0,11,0,Unranked,10.0,"[""women's bantamweight"", 'catch weight']",women's bantamweight,1982/03/13,27.21,13.99,83.72,30.25,35.56,62.11,8.08,24.02,27.01,54.0,46.99,9.99,2.44,0.0,75.0,22.22
Chelsea Chandler,,Southpaw,38,43.92,70.5,43.04,60.59,47.23,5.95,58.14,42.21,6,4,0,6,4,0,5,0,Unranked,13.0,"[""women's bantamweight"", ""women's featherweight"", 'catch weight']",women's bantamweight,1990/11/23,40.05,27.64,60.47,0.0,26.67,54.3,13.51,6.68,60.0,20.07,27.99,0.0,0.0,0.0,100.0,31.11
Jacqueline Cavalcanti,,Orthodox,39,43.91,77.56,0.89,60.59,98.18,11.7,23.26,3.32,9,1,0,9,1,0,4,0,Unranked,11.0,"[""women's bantamweight"", 'catch weight']",women's bantamweight,1997/08/29,72.65,41.21,62.79,0.0,93.35,69.63,0.0,2.68,0.0,1.52,84.0,0.0,0.0,0.0,100.0,100.0
Tainara Lisboa,Thai Panther,Orthodox,40,43.77,63.28,33.04,64.87,62.88,5.87,58.14,44.69,7,3,0,7,3,0,3,0,Unranked,15.0,"[""women's bantamweight""]",women's bantamweight,1991/03/02,12.11,8.39,55.81,0.0,46.67,95.63,23.77,14.67,35.99,12.61,58.0,0.0,9.78,25.01,75.0,44.44
Sarah Moras,Cheesecake,Orthodox,41,42.94,60.35,28.23,72.34,53.3,9.02,69.77,32.33,6,8,0,6,8,0,9,0,Unranked,13.0,"[""women's bantamweight"", 'catch weight']",women's bantamweight,1988/04/30,21.09,21.04,34.88,0.0,48.9,66.07,10.41,30.68,21.0,28.1,33.01,30.0,19.59,25.01,100.0,32.1
Wu Yanan,Mulan,Orthodox,42,42.58,69.11,26.15,67.88,46.48,3.11,93.02,28.53,13,6,0,13,6,0,6,0,Unranked,Unranked,"[""women's bantamweight"", ""women's flyweight""]",women's bantamweight,1996/04/18,50.22,15.63,51.17,0.0,46.67,47.34,9.64,13.35,30.01,16.5,63.0,9.99,4.9,25.01,100.0,12.97
Julija Stoliarenko,,Orthodox,43,42.48,64.0,26.28,77.15,40.58,6.08,93.02,14.9,11,9,2,11,9,2,8,0,Unranked,Unranked,"['catch weight', ""women's featherweight"", ""women's flyweight"", ""women's bantamweight""]",women's bantamweight,1993/04/08,24.21,23.69,46.52,0.0,40.0,52.93,14.44,24.02,27.01,11.97,54.01,9.99,41.63,50.01,75.0,4.17
Irina Alekseeva,Russian Ronda,Orthodox,44,42.35,70.14,14.81,68.38,57.83,2.98,93.02,11.42,5,3,0,5,3,0,3,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1990/06/27,46.93,3.14,46.52,15.12,40.0,46.24,7.31,6.68,19.99,3.32,65.99,0.0,12.24,25.01,100.0,40.74
Leslie Smith,The Peacemaker,Orthodox,45,41.57,85.14,2.74,60.59,56.34,16.16,58.14,7.01,10,7,1,10,7,1,7,0,Unranked,9.0,"[""women's bantamweight"", 'catch weight']",women's bantamweight,1982/08/17,100.0,29.36,48.85,30.25,51.12,0.0,0.0,6.68,0.0,5.29,62.0,0.0,0.0,0.0,100.0,39.68
Bea Malecki,,Orthodox,46,41.41,78.87,2.1,72.83,66.22,5.87,58.14,21.63,4,1,0,4,1,0,3,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1991/08/23,89.23,17.71,62.79,0.0,75.56,19.83,0.0,0.0,0.0,6.17,78.0,20.0,26.95,25.01,100.0,44.44
Ashlee Evans-Smith,Rebel Girl,Orthodox,47,40.81,66.12,28.67,54.49,51.79,13.36,46.51,21.41,6,6,0,6,6,0,9,0,Unranked,10.0,"[""women's bantamweight"", ""women's flyweight""]",women's bantamweight,1987/07/09,47.22,40.83,34.88,0.0,55.56,52.25,14.76,41.35,22.01,18.95,50.01,0.0,0.0,0.0,50.0,23.46
Josiane Nunes,Josi,Southpaw,48,39.45,85.0,1.72,60.59,59.37,8.89,46.51,7.08,10,4,0,10,4,0,6,0,Unranked,13.0,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1993/12/23,71.45,20.24,55.81,45.39,51.12,36.25,0.0,1.35,0.0,4.53,58.0,0.0,0.0,0.0,100.0,42.59
Elizabeth Phillips,,Orthodox,49,38.7,61.1,30.11,61.5,59.97,3.02,23.26,86.34,6,6,0,6,6,0,4,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1986/08/20,25.86,29.07,32.57,0.0,66.67,73.05,11.66,16.0,25.01,32.43,53.01,0.0,4.9,0.0,100.0,33.33
Talita Bernardo,,Orthodox,50,37.31,66.72,34.53,62.86,40.22,3.02,23.26,73.58,6,4,0,6,4,0,4,0,Unranked,14.0,"[""women's bantamweight""]",women's bantamweight,1987/03/04,33.64,13.64,53.48,0.0,60.0,59.79,25.17,36.01,22.01,27.67,27.99,0.0,12.24,0.0,100.0,0.0
Tamires Vidal,Tractor,Orthodox,51,36.51,75.68,3.41,62.44,38.02,3.02,93.02,18.7,7,4,0,7,4,0,4,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1998/07/27,30.5,4.94,79.07,15.12,46.67,54.03,0.0,6.68,0.0,7.24,35.01,20.0,17.14,0.0,75.0,0.0
Duda Santana,Cowboyzinha,Orthodox,52,36.17,71.97,67.79,0.0,46.13,0.0,0.0,37.97,3,1,0,3,1,0,1,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1996/01/10,76.82,7.6,46.52,0.0,100.0,77.83,100.0,6.68,60.0,3.38,0.0,0.0,,0.0,75.0,0.0
Hailey Cowan,All Hail,Southpaw,53,33.13,64.27,33.45,57.54,37.3,0.04,0.0,69.11,7,4,0,7,4,0,2,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1992/02/12,24.36,0.49,53.48,0.0,11.12,76.88,25.31,13.35,35.99,12.84,80.0,0.0,0.0,0.0,75.0,0.0
Tonya Evinger,Triple Threat,Orthodox,54,32.53,61.28,25.61,64.67,33.36,6.59,0.0,30.15,19,8,0,19,8,0,3,0,Unranked,11.0,"[""women's bantamweight"", ""women's featherweight""]",women's bantamweight,1981/06/04,4.34,7.24,53.48,0.0,22.23,60.06,14.44,12.02,30.01,10.53,33.01,0.0,22.05,0.0,100.0,0.0
