name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Chris Kelades,The Greek Assassin,Orthodox,86,36.62,60.97,20.25,58.85,58.8,6.05,23.26,30.53,9,3,0,9,3,0,4,0,Unranked,Unranked,['flyweight'],flyweight,1981/02/21,19.84,16.59,48.89,0.0,47.37,82.39,10.74,16.28,18.01,11.19,53.0,0.0,8.57,0.0,80.0,36.11
CJ Vergara,,Orthodox,87,36.1,74.19,4.81,56.28,50.51,9.2,46.51,14.33,12,7,1,12,7,1,8,0,Unranked,Unranked,['flyweight'],flyweight,1991/06/18,52.35,13.49,77.77,0.0,60.54,58.93,0.0,0.0,0.0,10.5,59.99,6.25,5.7,0.0,60.0,15.28
Roldan Sangcha'an,The Executioner,Orthodox,88,35.39,62.65,38.38,57.5,45.47,0.04,0.0,16.71,4,2,0,4,2,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1990/12/04,23.69,6.43,55.56,0.0,55.25,87.99,20.03,3.69,60.0,3.07,67.99,0.0,0.0,0.0,80.0,0.0
Daniel Barez,,Orthodox,89,35.18,70.45,22.69,57.42,43.03,3.06,23.26,5.81,17,7,0,17,7,0,3,0,Unranked,Unranked,['flyweight'],flyweight,1988/12/10,35.35,2.37,62.21,18.48,52.63,44.51,19.91,3.69,27.99,1.6,80.0,0.0,17.15,0.0,60.0,0.0
Phil Harris,Billy,Orthodox,90,34.64,51.71,21.88,57.5,59.57,3.14,23.26,10.13,22,12,0,22,12,0,5,0,Unranked,Unranked,['flyweight'],flyweight,1983/09/04,19.11,14.52,11.12,0.0,100.0,76.42,18.17,17.03,21.0,4.64,59.99,0.0,0.0,0.0,80.0,15.56
Mitch Raposo,,Switch,91,34.37,52.75,36.75,60.28,49.69,0.04,0.0,23.73,9,3,0,9,3,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1998/10/16,10.17,2.05,26.66,0.0,65.8,75.96,36.53,15.55,37.01,4.35,49.99,0.0,0.0,0.0,100.0,11.11
Jose Maria,No Chance,Orthodox,92,34.15,67.33,24.73,71.88,40.23,0.04,0.0,11.47,37,7,0,37,7,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1982/01/04,29.77,2.84,71.1,0.0,57.89,67.05,23.95,8.14,27.0,2.1,32.99,12.5,65.71,0.0,100.0,0.0
Daniel Lacerda,Miojo,Switch,93,32.97,71.93,36.06,60.11,23.46,0.22,0.0,7.29,11,6,0,11,6,0,6,0,Unranked,Unranked,['flyweight'],flyweight,1996/06/05,39.08,13.73,53.33,27.72,10.53,17.85,23.95,5.93,49.99,4.01,0.0,0.0,34.29,0.0,60.0,0.0
Carlos Candelario,The Cannon,Southpaw,94,32.72,65.56,29.59,58.85,37.49,0.04,0.0,27.29,8,3,0,8,3,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1991/06/04,39.32,2.68,55.56,0.0,36.84,53.42,23.53,4.45,35.99,5.01,53.0,0.0,8.57,0.0,80.0,0.0
Jose Ochoa,Kalzifer,Southpaw,95,32.32,61.83,0.47,0.0,77.32,3.01,93.02,4.36,8,1,0,8,1,0,2,0,Unranked,Unranked,['flyweight'],flyweight,2000/12/31,39.21,18.8,26.66,9.25,89.47,78.6,0.0,0.73,0.0,0.8,66.01,0.0,,0.0,100.0,55.56
