name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Joachim Christensen,,Orthodox,117,35.94,75.1,4.61,57.18,37.8,2.98,93.02,25.61,14,6,0,14,6,0,4,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1978/11/07,34.65,21.26,41.0,14.28,50.0,72.88,0.0,1.53,0.0,7.76,0.0,0.0,0.0,0.0,60.01,0.0
Josh Stansbury,The Sandman,Orthodox,118,35.68,75.55,6.9,66.29,53.75,2.94,23.26,49.32,4,8,0,4,8,0,3,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1984/11/19,29.51,10.39,54.0,0.0,58.7,70.82,0.0,3.84,0.0,11.19,87.01,18.18,9.42,0.0,100.0,14.81
Aaron Rosa,,Orthodox,119,35.66,74.84,17.44,63.57,43.4,2.94,23.26,4.1,18,6,0,18,6,0,3,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",light heavyweight,1983/05/28,36.93,18.53,46.99,0.0,48.91,63.65,3.38,0.76,32.99,0.93,85.0,0.0,3.77,0.0,100.0,0.0
James Irvin,The Sandman,Orthodox,120,35.35,74.72,1.15,58.01,36.81,11.79,69.77,2.09,17,10,0,17,10,0,10,0,Unranked,Unranked,"['light heavyweight', 'middleweight', 'heavyweight']",light heavyweight,1978/09/12,18.61,3.41,48.0,21.43,38.05,68.18,0.0,1.53,0.0,1.59,36.01,0.0,4.71,0.0,60.01,0.0
Marvin Eastman,The Beastman,Orthodox,121,35.31,65.15,24.8,62.91,42.52,3.02,23.26,12.17,18,15,1,18,15,1,5,0,Unranked,Unranked,"['middleweight', 'light heavyweight']",light heavyweight,1971/06/08,20.26,10.68,35.0,0.0,45.66,67.68,12.93,5.37,32.99,4.61,80.99,0.0,0.0,0.0,100.0,0.0
Seth Petruzelli,The Silverback,Orthodox,122,35.03,70.72,26.18,64.44,45.22,0.13,0.0,4.92,14,8,0,14,8,0,4,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1979/12/03,19.89,8.55,41.0,14.28,59.79,82.85,4.31,1.53,50.0,1.49,46.99,36.36,21.66,0.0,60.01,0.0
Maxim Grishin,Maximus,Orthodox,123,34.93,79.97,12.7,0.0,68.78,5.87,58.14,17.05,32,10,2,32,10,2,5,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",light heavyweight,1984/05/02,29.88,42.0,52.0,14.28,63.04,81.28,1.96,4.62,16.01,6.44,66.0,0.0,,0.0,100.0,46.67
Khadis Ibragimov,,Orthodox,124,34.89,74.58,25.39,61.4,43.74,0.13,0.0,35.25,8,4,0,8,4,0,4,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1995/05/21,32.54,17.56,48.99,0.0,51.09,64.89,9.08,7.68,30.01,10.67,80.01,9.09,2.82,0.0,80.0,0.0
Marcel Fortuna,,Orthodox,125,34.63,76.08,7.82,0.0,66.99,2.94,93.02,4.64,9,3,0,9,3,0,3,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",light heavyweight,1985/10/22,35.11,26.47,46.0,7.15,69.56,62.74,4.22,9.24,8.01,1.05,75.01,0.0,,0.0,100.0,40.74
Daniel Jolly,The Werewolf of Texas,Orthodox,126,33.93,67.33,28.34,62.91,41.07,0.04,0.0,3.79,5,3,0,5,3,0,2,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1984/09/03,12.09,1.35,46.0,0.0,47.82,72.05,26.49,1.53,32.99,0.58,50.02,0.0,0.0,0.0,100.0,0.0
