name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,td_avg_acc,splm,stance,nick_name,dob,division
Alan Patrick,180.34,70.31,187.96,15,4,0,40.0,2.95,43.0,3.01,43.0,0.3,33.0,1.8199999999999998,Southpaw,Nuguette,1983/07/19,['lightweight']
Alatengheili,165.1,61.22999999999999,167.64,17,10,2,32.0,5.12,57.0,1.74,75.0,0.0,43.0,2.82,Orthodox,The Mongolian Knight,1991/12/14,['bantamweight']
Albert Cheng,180.34,77.11,,7,4,0,,2.6,,0.0,0.0,0.0,0.0,1.0,Orthodox,,1985/02/07,['welterweight']
Albert Duraev,180.34,83.91,190.5,16,5,0,40.0,3.01,59.0,1.97,66.0,0.6,29.0,2.99,Orthodox,,1989/01/05,['middleweight']
Albert Morales,175.26,61.23,182.88,7,4,1,35.0,3.9599999999999995,56.0,0.91,70.0,0.20000000000000004,35.0,3.81,Orthodox,The Warrior,1991/05/25,['bantamweight']
Albert Tumenov,180.34,77.11,185.42,18,4,0,42.0,3.34,58.0,0.2,75.0,0.0,20.0,3.76,Orthodox,Einstein,1991/12/26,['welterweight']
Alberta Cerra Leon,172.72,107.95,,0,1,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,['open weight']
Alberto Crane,165.1,70.31,,15,5,0,25.0,2.61,57.0,0.0,50.0,,0.0,0.43,Orthodox,,1976/07/14,['lightweight']
Alberto Mina,182.88,77.11,195.58,13,1,0,38.0,3.7,47.0,1.85,50.0,0.0,20.0,3.23,Orthodox,Soldier of God,1982/05/02,['welterweight']
Alberto Uda,190.5,83.91,,12,2,0,52.0,3.49,45.0,2.83,66.0,0.0,50.0,1.79,Orthodox,,1984/08/08,['middleweight']
Alejandro Perez,167.64,61.230000000000004,170.18,23,9,1,35.0,3.18,61.0,0.54,70.0,0.3,22.0,3.45,Orthodox,Turbo,1989/09/02,"['featherweight', 'bantamweight', 'ultimate fighter latin america bantamweight tournament']"
Aleksa Camur,185.42,92.99,187.96,6,3,0,57.0,4.26,54.0,0.46,50.0,0.0,22.0,4.73,Orthodox,,1995/09/25,['light heavyweight']
Aleksandar Rakic,193.04,92.99,198.12,14,5,0,50.0,2.91,51.0,0.66,85.0,,23.0,4.16,Orthodox,Rocket,1992/02/06,['light heavyweight']
Aleksandra Albu,157.48,52.16,160.02,3,2,0,47.0,5.56,38.0,2.27,77.0,0.4,50.0,4.83,Orthodox,Stitch,1990/07/14,"[""women's strawweight""]"
Aleksandre Topuria,170.18,61.23,172.72,6,1,0,51.0,2.53,70.0,1.0,100.0,,50.0,2.73,Orthodox,El Conquistador,1996/01/28,['bantamweight']
Aleksei Kunchenko,172.72,77.11,177.8,20,2,0,44.0,2.83,63.0,0.25,80.0,0.0,33.0,3.67,Orthodox,,1984/05/02,['welterweight']
Aleksei Oleinik,187.96,108.86,203.2,60,17,1,48.0,3.8,44.0,1.82,37.0,1.9,46.0,3.29,Orthodox,The Boa Constrictor,1977/06/20,['heavyweight']
Alen Amedovski,177.8,83.91,187.96,8,4,0,30.0,3.85,46.0,0.0,0.0,0.0,0.0,0.99,Orthodox,,1988/04/06,['middleweight']
Alessandro Costa,162.56,56.7,170.18,14,4,0,47.0,3.5,57.0,0.27,90.0,0.0,12.0,4.14,Orthodox,Nono,1996/01/28,['flyweight']
Alessio Di Chirico,182.88,83.91,187.96,13,7,0,39.0,3.4399999999999995,61.0,1.46,83.0,0.0,39.0,3.32,Orthodox,Manzo,1989/12/12,['middleweight']
Alessio Sakara,182.88,83.91,182.88,19,11,0,47.0,2.8,59.0,2.18,62.0,0.0,78.0,3.96,Orthodox,Legionarius,1981/09/02,"['middleweight', 'light heavyweight']"
Alex Andrade,180.34,90.72,,10,5,0,36.0,2.6,53.0,0.0,25.0,,0.0,0.2,Orthodox,El Toro,1974/05/14,['middleweight']
Alex Caceres,177.8,65.77,185.42,21,15,0,49.0,3.0899999999999994,62.0,0.5400000000000001,64.0,0.7,68.0,4.21,Southpaw,Bruce Leeroy,1988/06/20,"['featherweight', 'bantamweight']"
Alex Chambers,160.02,52.15999999999999,160.02,5,5,0,54.0,5.1,50.0,2.31,53.0,1.0,41.0,2.97,Southpaw,Astro Girl,1978/10/25,"[""women's strawweight""]"
Alex Da Silva,172.72,70.31,185.42,21,4,0,46.0,2.52,56.0,1.97,76.0,,43.0,2.14,Orthodox,Leko,1996/02/04,['lightweight']
Alex Garcia,175.26,77.11,182.88,15,6,0,31.0,3.03,59.0,3.72,66.0,0.1,52.0,1.81,Orthodox,The Dominican Nightmare,1987/07/14,['welterweight']
Alex Gorgees,187.96,70.31,187.96,6,1,0,,2.27,,0.0,54.0,0.0,0.0,0.67,Switch,Hitman,1995/08/11,['lightweight']
Alex Hunter,175.26,102.51,,2,0,0,,0.0,,0.0,0.0,0.0,0.0,0.0,Orthodox,,,['heavyweight']
Alex Karalexis,172.72,70.31,167.64,10,6,0,42.0,2.39,54.0,2.7000000000000006,86.0,0.9,45.0,2.57,Orthodox,The Assassin,1977/09/20,['welterweight']
Alex Morono,180.33999999999997,77.11,182.88,24,12,0,40.0,4.78,56.0,0.33,47.0,0.3,24.0,5.03,Orthodox,The Great White,1990/08/16,"['welterweight', 'catch weight']"
Alex Nicholson,193.04,83.91,195.58,7,4,0,43.0,4.65,47.0,0.0,50.0,,0.0,4.12,Orthodox,The Spartan,1990/05/02,"['middleweight', 'light heavyweight']"
Alex Oliveira,180.34,77.11,193.04,22,12,1,51.0,2.55,46.0,2.35,63.0,0.6,38.0,2.99,Orthodox,Cowboy,1988/02/21,"['welterweight', 'lightweight']"
Alex Pereira,193.04,92.99,200.65999999999997,12,3,0,62.0,3.5,53.0,0.11,78.0,0.2,50.0,5.0,Orthodox,Poatan,1987/07/07,"['light heavyweight', 'middleweight']"
Alex Perez,167.64,56.70000000000001,165.1,25,9,0,46.0,3.2000000000000006,58.0,2.04,77.0,0.8,46.0,4.19,Orthodox,,1992/03/21,"['flyweight', 'bantamweight']"
Alex Reyes,180.34,70.31,185.42,13,5,0,46.0,6.919999999999999,48.0,1.5,0.0,0.0,28.0,4.46,Orthodox,The Executioner,1986/10/02,"['lightweight', 'welterweight']"
Alex Ricci,180.34,70.31,,10,5,0,41.0,2.53,64.0,0.0,64.0,,0.0,2.48,Orthodox,,1982/07/21,['lightweight']
Alex Schoenauer,190.5,83.91,,15,10,0,40.0,2.27,42.0,0.0,22.0,,0.0,1.22,Orthodox,,1976/05/05,['middleweight']
Alex Soto,172.72,61.23,,8,3,1,25.0,5.02,59.0,2.82,0.0,0.0,30.0,2.95,Southpaw,Extremo,1984/02/15,['bantamweight']
Alex Stiebling,187.96,92.99,,19,11,1,42.0,1.45,52.0,0.35,66.0,,66.0,1.77,Southpaw,The Brazilian Killa,,['middleweight']
Alex Torres,177.8,65.77,,5,4,0,37.0,2.73,69.0,2.0,50.0,,22.0,2.47,Orthodox,Rolo,1988/05/29,['featherweight']
Alex White,182.88,70.31,180.34,13,6,0,42.0,3.07,60.0,0.9200000000000002,71.0,0.5,28.0,3.7599999999999993,Southpaw,The Spartan,1988/10/22,"['lightweight', 'featherweight']"
Alexa Grasso,165.1,56.7,167.64000000000001,16,5,1,41.0,3.73,58.0,0.41,54.0,0.6,35.0,4.11,Orthodox,,1993/08/09,"[""women's flyweight"", ""women's strawweight""]"
Alexander Gustafsson,195.58,92.99,200.66,18,8,0,40.0,3.53,51.0,1.53,83.0,0.4,39.0,4.03,Orthodox,The Mauler,1987/01/15,"['light heavyweight', 'heavyweight']"
Alexander Hernandez,175.25999999999996,70.31,182.88,16,8,0,40.0,4.62,57.0,1.24,71.0,0.1,36.0,4.38,Orthodox,The Great Ape,1992/10/01,"['lightweight', 'featherweight']"
Alexander Munoz,175.26,70.31,182.88,7,2,0,42.0,4.73,55.0,3.0,100.0,0.0,40.0,3.7000000000000006,Switch,,1990/02/27,['lightweight']
Alexander Volkanovski,167.64,65.77,180.34,27,4,0,56.0,3.36,58.0,1.67,70.0,0.2,34.0,6.18,Orthodox,The Great,1988/09/29,"['featherweight', 'catch weight', 'lightweight']"
Alexander Volkov,200.66,113.4,203.2,38,11,0,57.0,2.99,54.0,0.61,72.0,0.2,66.0,4.97,Orthodox,Drago,1988/10/24,['heavyweight']
Alexander Yakovlev,190.5,70.31,187.96,24,10,1,47.0,2.41,58.0,1.66,72.0,0.1,35.0,1.74,Southpaw,Russian Thunder,1984/07/18,"['lightweight', 'welterweight']"
Alexandr Romanov,187.96,118.84,190.5,18,3,0,51.0,2.13,54.0,4.49,28.0,0.9,55.0,3.78,Southpaw,King Kong,1990/12/11,['heavyweight']
Alexandre Barros,175.26,77.11,,22,11,0,40.0,4.05,36.0,1.84,100.0,,50.0,0.98,Southpaw,Baixinho,1976/11/19,['welterweight']
Alexandre Dantas,187.96,107.95,,0,3,0,25.0,1.87,60.0,0.0,0.0,,0.0,0.21,Orthodox,Cafe,1979/03/01,"['heavyweight', 'middleweight']"
Alexandre Ferreira,170.18,92.99,,18,6,0,60.0,8.14,42.0,0.0,0.0,,0.0,2.57,Orthodox,Cacareco,1979/04/25,['light heavyweight']
Alexandre Pantoja,165.1,56.7,170.18,30,5,0,50.0,3.8799999999999994,49.0,2.8,69.0,1.0,47.0,4.36,Orthodox,The Cannibal,1990/04/16,['flyweight']
Alexia Thainara,162.56,52.16,170.18,12,1,0,40.0,2.82,70.0,3.07,0.0,,100.0,5.73,Orthodox,Burguesinha,1995/11/20,"[""women's strawweight""]"
Alexis Davis,167.64000000000001,61.23,172.72,21,11,0,49.0,4.45,54.0,0.95,34.0,0.7,44.0,4.63,Orthodox,,1984/10/04,"[""women's bantamweight"", ""women's flyweight""]"
Alexis Dufresne,175.26,61.23,,6,3,0,27.0,3.33,60.0,1.5,50.0,0.0,50.0,1.33,Orthodox,Sneaky Zebra,1990/08/31,"[""women's bantamweight"", 'catch weight']"
Alfonso Alcarez,160.02,65.77,,1,3,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1970/06/10,['lightweight']
Ali AlQaisi,167.64,61.23,172.72,8,5,0,42.0,1.97,56.0,3.5,60.0,1.0,29.0,2.43,Orthodox,The Royal Fighter,1990/09/23,['bantamweight']
Ali Bagautinov,162.56,56.7,165.1,15,6,0,42.0,3.09,52.0,2.5100000000000002,65.0,0.3,36.0,2.85,Orthodox,Puncher,1985/06/10,['flyweight']
Aliaskhab Khizriev,175.26,83.91,187.96,14,0,0,,4.38,,5.64,100.0,3.8,60.0,6.01,Southpaw,Black Wolf,1990/08/24,['middleweight']
Alice Ardelean,160.02,52.16,157.48,10,7,0,44.0,5.04,57.0,1.0,87.0,,50.0,6.73,Orthodox,,1992/04/19,"[""women's strawweight""]"
Alistair Overeem,193.04,120.2,203.2,47,19,0,64.0,2.44,57.0,1.42,73.0,0.8,55.0,3.6700000000000004,Orthodox,The Demolition Man,1980/05/17,['heavyweight']
Aljamain Sterling,170.18,65.77,180.34,24,5,0,52.0,2.21,58.0,2.51,42.0,0.6999999999999998,29.0,4.41,Orthodox,Funk Master,1989/07/31,"['bantamweight', 'catch weight', 'featherweight']"
Allan Goes,182.88,92.99,,10,5,2,52.0,1.35,41.0,1.75,0.0,,40.0,0.64,Orthodox,,1971/04/20,['middleweight']
Allan Nascimento,172.72,56.7,175.26,21,6,0,60.0,1.96,50.0,1.42,30.0,0.9,24.0,2.64,Orthodox,Puro Osso,1991/09/11,['flyweight']
Allan Zuniga,170.18,70.31,177.8,13,1,0,52.0,1.8,61.0,0.0,57.0,,0.0,3.93,Orthodox,Tigre,1992/04/04,['lightweight']
Allen Berube,172.72,70.31,,4,3,0,80.0,0.92,33.0,6.87,0.0,,100.0,0.92,Orthodox,Monstah Lobstah,1974/08/25,['lightweight']
Allen Crowder,190.5,111.13,193.04,10,4,0,51.0,2.9500000000000006,56.0,1.8500000000000003,100.0,1.2,33.0,2.9500000000000006,Orthodox,Pretty Boy,1989/11/08,['heavyweight']
Alonzo Menifield,182.88,92.99,193.04,17,5,1,53.0,3.76,50.0,0.5,78.0,0.2,31.0,3.79,Orthodox,Atomic,1987/10/18,['light heavyweight']
Alptekin Ozkilic,165.1,56.7,165.1,9,5,0,32.0,5.72,59.0,4.21,75.0,0.0,58.0,3.81,Orthodox,The Turkish Delight,1986/03/27,['flyweight']
Alvaro Herrera Mendoza,182.88,70.31,187.96,9,6,0,38.0,3.4,55.0,0.0,33.0,1.1,0.0,1.89,Orthodox,Chango,1990/05/14,"['lightweight', 'welterweight']"
Alvin Hines,187.96,120.2,187.96,7,1,0,31.0,7.47,38.0,1.0,0.0,,10.0,5.47,Orthodox,Goozie,1991/10/20,['heavyweight']
Alvin Robinson,175.26,70.31,172.72,15,9,0,50.0,1.29,51.0,1.24,25.0,1.2,50.0,1.57,Southpaw,,1982/07/16,['lightweight']
Amanda Cooper,160.02,52.16,162.56,3,5,0,44.0,3.2000000000000006,51.0,1.53,28.0,1.8,38.0,3.5499999999999994,Switch,ABC,1991/10/22,"[""women's strawweight"", ""ultimate fighter 23 women's strawweight tournament""]"
Amanda Lemos,162.56,52.16,165.09999999999997,15,4,1,54.0,3.46,44.0,1.14,59.0,0.7,62.0,2.89,Southpaw,,1987/05/22,"[""women's strawweight"", ""women's bantamweight""]"
Amanda Nunes,172.72,61.22999999999999,175.26,23,5,0,51.0,2.62,57.0,2.73,82.0,0.7,54.0,4.55,Orthodox,The Lioness,1988/05/30,"[""women's bantamweight"", ""women's featherweight""]"
Amanda Ribas,160.02,52.16,167.64,13,6,0,39.0,3.24,60.0,2.06,83.0,0.6,53.0,4.29,Orthodox,,1993/08/26,"[""women's flyweight"", ""women's strawweight""]"
Amar Suloev,175.26,83.01,,24,7,0,37.0,2.19,70.0,0.27,88.0,,100.0,1.98,Orthodox,,1976/07/01,"['middleweight', 'light heavyweight']"
Amaury Bitetti,175.26,83.91,,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,,,"['middleweight', 'open weight']"
Amilcar Alves,182.88,77.11,,15,12,0,46.0,2.02,30.0,0.0,53.0,,0.0,0.5,Southpaw,,1988/08/08,['welterweight']
Amir Albazi,165.1,56.70000000000001,172.72,17,2,0,34.0,3.7099999999999995,61.0,1.39,50.0,0.5,32.0,2.72,Orthodox,The Prince,1993/10/27,"['flyweight', 'bantamweight']"
Amir Sadollah,177.8,77.11,190.5,6,5,0,46.0,3.55,60.0,0.57,60.0,0.3,27.0,4.71,Orthodox,,1980/08/27,"['welterweight', 'ultimate fighter 7 middleweight tournament']"
Anderson Dos Santos,165.1,61.23,177.8,21,9,0,25.0,5.37,49.0,0.98,66.0,,14.0,2.7,Orthodox,Berinja,1985/07/24,"['bantamweight', 'featherweight']"
Anderson Silva,187.96,83.91,195.58,34,11,0,61.0,2.05,60.0,0.5,69.0,0.8,77.0,3.05,Southpaw,The Spider,1975/04/14,"['middleweight', 'light heavyweight']"
Andre Ewell,172.72,65.77,190.5,17,9,0,40.0,4.87,51.0,0.36,72.0,0.1,75.0,4.28,Southpaw,Mr. Highlight,1988/01/21,"['catch weight', 'bantamweight', 'featherweight']"
Andre Fialho,182.87999999999997,77.11,187.96,16,8,0,41.0,6.26,45.0,0.25,66.0,0.0,100.0,3.3,Orthodox,,1994/04/07,['welterweight']
Andre Fili,180.34,65.77,187.96,24,12,0,37.0,4.15,51.0,2.17,70.0,0.2,44.0,3.84,Orthodox,Touchy,1990/06/25,['featherweight']
Andre Gusmao,182.88,92.99,,6,3,0,43.0,3.28,60.0,0.0,60.0,,0.0,2.79,Orthodox,,1977/05/19,['light heavyweight']
Andre Lima,170.18,56.7,170.18,11,0,0,60.0,2.49,57.0,1.36,75.0,,75.0,4.06,Orthodox,Mascote,1999/02/04,['flyweight']
Andre Muniz,185.42,83.91,198.12,24,7,0,49.0,2.33,51.0,4.02,35.0,1.2,49.0,2.04,Southpaw,Sergipano,1990/02/17,['middleweight']
Andre Pederneiras,172.72,70.31,,1,1,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Orthodox,,1967/03/22,['welterweight']
Andre Petroski,182.88,83.91,185.42,13,5,0,49.0,2.75,52.0,3.2100000000000004,86.0,1.3,51.0,2.82,Switch,,1991/06/12,['middleweight']
Andre Roberts,187.96,156.49,,14,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,The Chief,1965/02/24,['heavyweight']
Andre Soukhamthath,175.26,61.23,177.8,13,8,0,44.0,4.31,49.0,1.25,58.0,0.2,53.0,2.77,Orthodox,The Asian Sensation,1988/10/23,['bantamweight']
Andre Winner,180.34,70.31,185.42,21,11,2,33.0,4.57,51.0,0.0,74.0,0.0,0.0,2.52,Orthodox,,1981/11/09,"['lightweight', 'ultimate fighter 9 lightweight tournament']"
Andrea Lee,167.64000000000001,56.7,175.26,13,11,0,45.0,3.91,61.0,1.65,53.0,0.6,52.0,4.62,Orthodox,KGB,1989/02/11,"[""women's flyweight""]"
Andreas Gustafsson,185.42,77.11,185.42,12,2,0,76.0,2.79,45.0,6.43,100.0,,58.0,5.83,Orthodox,Bane,1991/02/20,['welterweight']
Andreas Michailidis,182.88,77.11,193.04,13,6,0,51.0,3.57,44.0,1.12,50.0,0.0,27.0,2.9,Orthodox,The Spartan,1988/07/18,"['middleweight', 'welterweight', 'light heavyweight']"
Andreas Stahl,180.34,77.11,,10,4,0,37.0,4.74,57.0,1.55,80.0,0.0,66.0,2.83,Orthodox,Real Steel,1988/05/20,['welterweight']
Andrei Arlovski,190.5,108.86,195.58,34,24,0,45.0,3.22,57.0,0.37,76.0,0.2,35.0,3.82,Orthodox,The Pitbull,1979/02/04,"['heavyweight', 'interim heavyweight']"
Andrei Semenov,182.88,83.91,,34,9,2,15.0,2.44,60.0,1.74,55.0,0.4,80.0,0.78,Orthodox,,1977/06/17,['middleweight']
Andrew Craig,185.42,77.11,193.04,9,4,0,40.0,3.0100000000000002,50.0,0.53,72.0,0.0,37.0,2.39,Orthodox,Highlight,1986/01/15,"['welterweight', 'middleweight']"
Andrew Holbrook,180.34,70.31,177.8,12,3,0,49.0,3.0,54.0,0.85,10.0,,18.0,2.2,Southpaw,,1986/02/06,['lightweight']
Andrew Sanchez,185.42,83.91,187.96,13,7,0,43.0,5.1,50.0,2.55,100.0,0.0,36.0,4.3,Orthodox,El Dirte,1988/04/08,"['middleweight', 'ultimate fighter 23 light heavyweight tournament']"
Andrey Pulyaev,193.04,83.91,198.12,9,3,0,58.0,3.93,48.0,0.5,85.0,,16.0,3.87,Southpaw,,1997/09/10,['middleweight']
Andy Anderson,167.64,108.86,,0,1,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,The Hammer,1974/07/16,['open weight']
Andy Enz,190.5,83.91,198.12,10,4,0,23.0,5.32,57.0,0.0,58.0,,0.0,3.51,Orthodox,Tank Mode,1991/08/15,['middleweight']
Andy Ogle,172.72,65.77,175.26,9,6,0,44.0,2.23,50.0,1.4400000000000002,58.0,0.0,26.0,2.24,Orthodox,The Little Axe,1989/02/16,['featherweight']
Andy Wang,167.64,70.31,,7,8,1,36.0,10.29,62.0,0.0,0.0,,0.0,3.43,Orthodox,,1977/05/28,['lightweight']
Ange Loosa,177.80000000000004,77.11,187.96,10,5,0,46.0,6.59,52.0,2.53,83.0,0.2,39.0,5.46,Orthodox,The Last Ninja,1993/03/18,['welterweight']
Angel Pacheco,172.72,61.23,177.8,7,3,0,,11.47,,0.0,28.0,0.0,0.0,9.5,Orthodox,,1992/01/13,['bantamweight']
Angela Hill,160.02,52.16,162.56,18,14,0,50.0,4.92,61.0,0.81,75.0,0.1,32.0,5.47,Orthodox,Overkill,1985/01/12,"[""women's strawweight"", 'catch weight']"
Angela Magana,154.94,52.16,165.1,11,9,0,28.0,4.92,42.0,0.4000000000000001,28.0,0.4,25.0,1.53,Orthodox,Your Majesty,1983/08/02,"[""women's strawweight""]"
Anistavio Medeiros,167.64,65.77,,19,10,0,,5.0,,0.0,0.0,0.0,0.0,3.64,Orthodox,Gasparzinho,1988/05/01,['featherweight']
Anna Elmose,160.02,52.16,,3,2,0,49.0,4.64,56.0,0.0,33.0,0.0,0.0,3.68,Orthodox,Panda,1984/10/06,"[""women's strawweight"", ""women's bantamweight""]"
Ansar Chalangov,175.26,77.11,,14,5,0,66.0,1.69,54.0,0.0,0.0,,0.0,0.68,Orthodox,,1979/10/30,['welterweight']
Anshul Jubli,182.88,70.31,175.26,7,2,0,46.0,5.72,50.0,0.81,63.0,,18.0,6.419999999999999,Switch,King of Lions,1995/01/13,"['lightweight', 'road to  1 lightweight tournament']"
Anthony Birchak,172.72,61.23,175.26,16,8,0,36.0,3.67,56.0,0.48,61.0,0.5,14.0,3.93,Orthodox,El Toro,1986/05/16,['bantamweight']
