,name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,stance,dob
512,Cortney Casey,170.18,56.7,170.18,10,10,0,39.0,4.0,55.0,0.39,39.0,0.5,Orthodox,1987/05/05
513,Cory Hendricks,190.5,92.99,,3,1,0,,4.07,,0.0,100.0,0.0,Switch,1988/05/10
514,Cory McKenna,160.02,52.16,147.32,8,4,0,38.0,3.68,46.0,2.0,75.0,0.4,Orthodox,1999/07/11
515,Cory Sandhagen,180.34,61.23,177.8,18,5,0,45.0,3.3399999999999994,56.0,1.28,63.0,0.3,Switch,1992/04/20
516,Cory Walmsley,182.88,92.99,,8,2,0,100.0,1.18,50.0,0.0,0.0,,Orthodox,
517,Court McGee,180.34,77.11,190.5,23,14,0,36.0,3.65,60.0,1.78,70.0,0.5,Orthodox,1984/12/12
518,Courtney Turner,187.96,77.11,,0,3,0,0.0,0.0,0.0,0.0,0.0,,,
519,Crafton Wallace,182.88,83.91,,18,6,1,44.0,2.36,47.0,0.0,42.0,,Orthodox,1975/11/10
520,Craig White,187.96,77.11,193.04,14,9,0,40.0,3.28,39.0,0.0,50.0,,Orthodox,1990/07/01
521,Cristian Quinonez,172.72,61.23,177.80000000000004,18,5,0,40.0,4.55,55.0,1.37,84.0,0.0,Orthodox,1996/04/26
522,Cristiane Justino,172.72,65.77,172.72,21,2,0,,2.25,,0.66,94.0,0.4,Orthodox,1985/07/09
523,Cristiano Marcello,175.26,70.31,182.88,13,6,0,,3.61,,0.44,20.0,0.9,Orthodox,1977/12/03
524,Cristina Stanciu,160.02,52.16,,5,2,0,50.0,3.07,52.0,0.85,40.0,,Orthodox,1994/03/29
525,Cub Swanson,172.72,65.77,177.8,30,14,0,51.0,4.0,59.0,1.01,63.0,0.4,Orthodox,1983/11/02
526,Cung Le,175.26,83.91,177.8,9,3,0,48.0,2.98,66.0,1.37,88.0,0.3,Southpaw,1972/05/25
527,Curt Warburton,182.88,70.31,185.42,13,6,0,42.0,3.44,43.0,2.35,83.0,,Orthodox,
528,Curtis Blaydes,193.04,120.2,203.2,19,5,0,50.0,2.0,58.0,5.38,31.0,0.0,Orthodox,1991/02/18
529,Curtis Millender,187.96,77.11,193.04,17,5,0,46.0,2.95,61.0,0.43,57.0,0.0,Orthodox,1987/12/01
530,Curtis Stout,185.42,83.91,,11,12,1,67.0,3.2,29.0,0.0,20.0,,Southpaw,1973/11/07
531,Cynthia Calvillo,162.56,52.16,162.56,9,6,1,38.0,4.12,64.0,1.8000000000000003,77.0,0.8000000000000002,Orthodox,1987/07/13
532,Cyril Asker,182.88,112.04,187.96,9,4,0,39.0,5.82,35.0,4.41,100.0,0.9,Orthodox,1985/12/24
533,Cyrille Diabate,198.12,92.99,205.74,19,10,1,71.0,1.78,60.0,1.17,53.0,0.2,Southpaw,1973/10/06
534,Da Woon Jung,193.04,92.99,198.12,15,6,1,40.0,4.23,49.0,1.59,75.0,0.2,Orthodox,1993/12/07
535,Da'Mon Blackshear,177.8,61.22999999999999,182.88,17,7,1,46.0,4.15,52.0,1.56,71.0,1.6000000000000003,Switch,1994/08/12
536,DaMarques Johnson,185.42,77.11,190.5,15,15,0,37.0,3.75,51.0,1.18,19.0,0.7,Orthodox,1982/06/28
537,Daichi Abe,180.34,77.11,180.34,6,2,0,33.0,4.49,56.0,0.33,0.0,0.0,Orthodox,1991/11/27
538,Daiju Takase,182.88,77.11,,12,15,2,30.0,1.64,47.0,0.84,21.0,,Southpaw,1978/04/20
539,Dakota Bush,177.8,70.31,185.42,8,4,0,38.0,4.42,41.0,2.4,0.0,0.0,Orthodox,1994/06/09
540,Dalcha Lungiambula,172.72,83.91,193.04,11,6,0,45.0,3.93,52.0,2.14,77.0,0.0,Orthodox,1987/07/31
541,Dale Hartt,177.80000000000004,70.31,175.26,6,3,0,35.0,1.55,66.0,1.22,25.0,2.5,Orthodox,1979/04/04
542,Damacio Page,167.64,61.23,167.64,19,10,0,38.0,2.47,51.0,2.63,23.0,0.9,Orthodox,1982/09/30
543,Damian Grabowski,185.42,109.32,190.5,20,5,0,36.0,7.650000000000001,51.0,0.0,0.0,0.0,Orthodox,1980/05/12
544,Damian Stasiak,165.1,61.23,177.80000000000004,10,6,0,36.0,3.1,52.0,2.64,43.0,0.6,Orthodox,1990/02/20
545,Damien Brown,177.80000000000004,70.31,172.72,17,12,0,38.0,4.86,50.0,0.68,53.0,0.7,Orthodox,1984/12/25
546,Damir Hadzovic,175.26,70.31,177.8,14,8,0,47.0,3.7400000000000007,59.0,0.9099999999999999,34.0,0.1,Orthodox,1986/08/08
547,Damir Ismagulov,177.8,70.31,187.96,24,3,0,42.0,2.44,61.0,1.0,70.0,0.0,Orthodox,1991/02/03
548,Damon Jackson,180.34,70.31,180.34,23,8,1,42.0,3.47,49.0,2.3,37.0,1.2,Switch,1988/08/08
549,Dan Argueta,170.18,61.23,172.72,9,3,0,43.0,3.44,50.0,4.36,55.0,1.4,Southpaw,1993/08/13
550,Dan Barrera,175.26,77.11,,3,1,0,70.0,1.2,28.0,1.0,0.0,,Orthodox,1980/12/23
551,Dan Bobish,187.96,156.49,,17,9,0,44.0,1.74,34.0,2.44,0.0,1.6,Southpaw,1970/01/26
552,Dan Christison,203.2,120.2,,20,7,0,51.0,3.88,54.0,0.0,37.0,1.1,Orthodox,1972/04/26
553,Dan Cramer,187.96,77.11,,11,4,0,30.0,2.1,31.0,0.0,66.0,0.5,Orthodox,1985/10/31
554,Dan Evensen,190.5,113.4,,11,4,0,10.0,3.86,38.0,0.0,0.0,,Orthodox,1974/06/01
555,Dan Hardy,182.88,77.11,187.96,25,10,0,35.0,3.44,51.0,0.73,35.0,0.4,Orthodox,1982/05/17
556,Dan Henderson,180.34,83.91,187.96,32,15,0,47.0,2.7,51.0,1.52,57.0,0.3,Orthodox,1970/08/24
557,Dan Hooker,182.88,70.31,190.5,24,12,0,48.0,4.72,51.0,0.73,78.0,0.3,Switch,1990/02/13
558,Dan Ige,170.18,65.77,180.34,19,9,0,45.0,3.5500000000000003,56.0,0.94,58.0,0.2,Orthodox,1991/08/06
559,Dan Lauzon,177.80000000000004,70.31,,17,6,0,25.0,4.09,61.0,1.63,80.0,,Orthodox,1988/03/30
560,Dan Miller,185.42000000000002,83.91,187.96,14,8,0,36.0,3.06,49.0,1.6700000000000002,47.0,1.8,Orthodox,1981/06/30
561,Dan Moret,182.88,70.31,185.42,13,6,0,43.0,3.56,43.0,1.25,45.0,,Southpaw,1986/11/21
562,Dan Severn,187.96,113.4,,101,19,1,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,1958/06/08
563,Dan Stittgen,185.42,77.11,,12,5,0,46.0,4.42,37.0,0.78,100.0,0.0,Orthodox,1980/11/17
564,Daniel Barez,167.64,56.70000000000001,167.64,17,7,0,49.0,5.95,50.0,1.93,80.0,0.6,Orthodox,1988/12/10
565,Daniel Cormier,180.34,106.59,182.88,22,3,0,52.0,2.92,54.0,1.8300000000000003,80.0,0.4,Orthodox,1979/03/20
566,Daniel Frunza,185.42,77.11,185.42,9,3,0,40.0,6.67,56.0,0.0,60.0,,Orthodox,1994/04/13
567,Daniel Jolly,185.42,92.99,190.5,5,3,0,46.0,3.39,44.0,2.83,50.0,0.0,Orthodox,1984/09/03
568,Daniel Kelly,182.88,83.91,177.8,13,4,0,38.0,4.64,61.0,1.86,78.0,0.3,Southpaw,1977/10/31
569,Daniel Lacerda,167.64,56.70000000000001,177.80000000000004,11,6,0,45.0,8.28,34.0,2.32,0.0,1.2,Switch,1996/06/05
570,Daniel Marcos,170.18,61.23,175.26,17,1,0,53.0,3.8800000000000003,61.0,0.9899999999999999,84.0,0.0,Orthodox,1993/03/07
571,Daniel Omielanczuk,182.88,112.04,187.96,19,8,1,57.0,3.29,47.0,0.56,68.0,0.1,Southpaw,1982/08/31
572,Daniel Pineda,170.18,65.77,175.26,28,17,0,49.0,3.2600000000000002,45.0,1.42,54.0,1.5,Orthodox,1985/08/06
573,Daniel Roberts,177.8,77.11,187.96,15,7,0,20.0,2.27,46.0,2.46,40.0,2.5,Southpaw,1980/08/05
574,Daniel Rodriguez,185.42000000000002,77.11,187.96,19,5,0,48.0,5.39,57.0,0.55,63.0,0.10000000000000002,Southpaw,1986/12/31
575,Daniel Santos,170.18,65.77,170.18,13,2,0,40.0,4.96,51.0,3.03,73.0,0.0,Orthodox,1995/03/12
576,Daniel Sarafian,175.26,83.91,185.42,10,6,0,46.0,3.1,58.0,0.36000000000000004,53.0,0.7,Orthodox,1982/08/21
577,Daniel Spitz,200.66,111.13,208.28,6,3,0,35.0,5.3,46.0,0.74,0.0,0.0,Orthodox,1990/07/31
578,Daniel Spohn,193.04,92.99,200.66,15,6,0,49.0,1.6,53.0,0.0,28.0,,Southpaw,1984/10/12
579,Daniel Teymur,165.1,65.77,175.26,7,4,0,46.0,3.9300000000000006,56.0,0.56,60.0,0.3,Orthodox,1988/02/03
580,Daniel Zellhuber,185.42,70.31,195.58,15,2,0,40.0,6.02,55.0,0.18,94.0,0.20000000000000004,Switch,1999/07/07
581,Danielle Taylor,152.4,52.15999999999999,152.4,9,4,0,29.0,3.31,71.0,0.2,70.0,0.2,Orthodox,1989/10/25
582,Danillo Villefort,185.42,83.91,,15,5,0,37.0,2.4,68.0,1.71,33.0,,Orthodox,1983/05/08
583,Danilo Belluardo,182.88,70.31,187.96,12,5,0,61.0,4.79,41.0,3.5,50.0,,Southpaw,1994/07/21
584,Danilo Marques,198.12,92.99,195.58,11,4,0,79.0,2.52,52.0,3.93,0.0,,Orthodox,1985/12/26
585,Danny Abbadi,180.34,70.31,,4,6,0,38.0,4.41,57.0,0.0,77.0,,Orthodox,1983/07/03
586,Danny Barlow,187.96,77.11,200.66,9,1,0,50.0,3.7000000000000006,51.0,0.0,100.0,0.0,Southpaw,1995/08/02
587,Danny Castillo,175.26,70.31,180.34,17,10,0,42.0,1.9599999999999997,62.0,2.95,63.0,0.20000000000000004,Orthodox,1979/08/25
588,Danny Chavez,172.72,65.77,170.18,11,5,1,38.0,3.83,50.0,1.95,87.0,0.0,Orthodox,1987/03/14
589,Danny Downes,182.88,70.31,182.88,8,3,0,34.0,3.53,37.0,0.0,37.0,0.5,Orthodox,1986/04/08
590,Danny Henry,182.88,65.77,185.42,12,4,0,51.0,4.16,45.0,0.74,50.0,2.2,Orthodox,1988/07/17
591,Danny Martinez,167.64,56.7,170.18,21,8,0,28.0,3.77,63.0,3.0,36.0,0.0,Orthodox,1985/06/14
592,Danny Mitchell,187.96,77.11,,19,9,1,49.0,2.53,52.0,0.0,100.0,,Orthodox,1986/08/08
593,Danny Roberts,185.42,77.11,187.96,18,8,0,39.0,3.73,50.0,0.24,57.0,0.2,Southpaw,1987/07/14
594,Danny Silva,180.34,65.77,177.8,10,1,0,59.0,7.96,61.0,2.33,100.0,0.3,Switch,1997/01/30
595,Dante Rivera,185.42,83.91,,16,7,0,53.0,4.0,25.0,0.0,16.0,,Southpaw,1974/12/08
596,Danyelle Wolf,180.34,65.77,177.8,1,1,0,25.0,4.57,47.0,0.0,77.0,,Orthodox,1983/09/08
597,Daria Zhelezniakova,175.26,61.23,172.72,10,2,0,41.0,2.83,68.0,0.44,50.0,0.0,Orthodox,1996/01/23
598,Darian Weeks,180.34,77.11,182.88,5,3,0,51.0,4.56,51.0,2.0,100.0,0.0,Orthodox,1993/11/23
599,Darko Stosic,182.88,92.99,193.04,13,4,0,45.0,4.04,58.0,3.42,83.0,0.0,Orthodox,1992/02/09
600,Daron Cruickshank,172.72,70.31,182.88,18,10,0,38.0,2.98,57.0,2.04,60.0,0.2,Switch,1985/06/11
601,Darrel Gholar,172.72,88.0,,5,6,0,0.0,0.0,0.0,0.0,0.0,,Orthodox,
602,Darrell Horcher,177.8,70.31,177.8,13,4,0,44.0,4.21,39.0,0.35,47.0,,Southpaw,1987/07/28
603,Darrell Montague,167.64,56.70000000000001,170.18,13,5,0,25.0,5.38,52.0,0.7200000000000001,33.0,1.4,Southpaw,1987/11/03
604,Darren Elkins,177.8,65.77,180.34,29,12,0,38.0,3.3399999999999994,51.0,2.87,56.0,1.1,Orthodox,1984/05/16
605,Darren Stewart,182.87999999999997,92.99,187.96,12,8,0,45.0,3.29,48.0,1.75,67.0,0.10000000000000002,Orthodox,1990/12/30
606,Darren Till,182.88,83.91,187.96,18,5,1,46.0,3.31,56.0,0.55,69.0,0.0,Southpaw,1992/12/24
607,Darren Uyenoyama,167.64,56.7,165.1,10,6,0,39.0,2.21,66.0,1.42,35.0,0.7,Orthodox,1979/10/15
608,Darrick Minner,170.18,65.77,175.26,26,14,0,65.0,2.28,35.0,2.4,66.0,2.7,Orthodox,1990/04/28
609,Darrill Schoonover,187.96,99.79,,14,8,0,33.0,4.35,38.0,0.0,50.0,,Orthodox,1985/07/18
610,Darrius Flowers,175.26,70.31,180.34,12,8,1,49.0,5.489999999999999,44.0,0.98,63.0,,Orthodox,1994/08/25
611,Dashon Johnson,170.18,65.77,,9,2,0,69.0,3.83,35.0,0.85,63.0,,Orthodox,1988/01/25
612,Dave Beneteau,187.96,113.40000000000002,,6,5,1,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,
613,Dave Berry,,,,0,1,0,0.0,0.0,0.0,0.0,0.0,,,
614,Dave Galera,180.34,61.23,,5,1,0,69.0,0.53,33.0,0.0,14.0,,Orthodox,1978/01/12
615,Dave Herman,193.04,109.77000000000001,195.58,22,6,0,60.0,3.78,48.0,1.49,58.0,0.0,Orthodox,1984/10/03
616,Dave Menne,177.80000000000004,77.11,,45,17,2,44.0,1.99,42.0,0.46,57.0,2.5,Orthodox,1974/07/29
617,Dave Strasser,177.8,77.11,,25,8,0,45.0,1.88,59.0,0.72,33.0,0.0,Orthodox,1969/07/13
618,Davey Grant,172.72,61.230000000000004,175.26000000000002,16,7,0,44.0,3.89,55.0,1.14,61.0,0.2,Orthodox,1985/12/18
619,Davi Ramos,167.64000000000001,70.31,177.8,10,4,0,37.0,3.44,56.0,1.95,83.0,0.6,Orthodox,1986/11/05
620,David Abbott,182.88,120.19999999999999,,10,15,0,30.0,3.55,38.0,1.07,66.0,0.0,Switch,1965/04/26
621,David Baron,167.64,70.31,,17,4,1,30.0,2.1,56.0,0.0,14.0,,Switch,1973/02/15
622,David Bielkheden,177.80000000000004,70.31,180.34,24,12,0,57.0,1.64,54.0,2.65,14.0,0.0,Orthodox,1979/06/06
623,David Branch,185.42,83.91,198.12,22,6,0,39.0,1.9099999999999997,56.0,2.55,43.0,0.0,Orthodox,1981/09/26
624,David Dodd,187.96,90.72,,4,7,0,0.0,0.0,0.0,0.0,0.0,,Orthodox,1973/09/22
625,David Dvorak,165.1,56.70000000000001,172.72,20,6,0,43.0,3.2900000000000005,59.0,0.58,70.0,0.20000000000000004,Orthodox,1992/06/05
626,David Heath,180.34,92.99,182.88,18,7,0,30.0,5.16,49.0,0.33,57.0,1.0,Orthodox,1976/02/10
627,David Hood,182.88,90.72,,1,3,0,0.0,0.0,0.0,0.0,0.0,,,
628,David Kaplan,170.18,70.31,,3,4,0,46.0,4.32,67.0,4.88,0.0,,Orthodox,1979/11/16
629,David Lee,177.8,70.31,,12,10,0,50.0,3.31,42.0,0.0,50.0,,Orthodox,
630,David Levicki,195.58,124.74,,1,3,0,0.0,0.0,0.0,0.0,0.0,,,
631,David Loiseau,182.88,83.91,193.04,23,11,0,44.0,3.6399999999999997,43.0,0.43,36.0,0.1,Orthodox,1979/12/17
632,David Martinez,165.1,61.23,170.18,12,1,0,,2.7,,0.0,100.0,0.0,Orthodox,1998/08/03
633,David Michaud,175.26,70.31,,11,3,0,43.0,4.45,54.0,2.53,77.0,0.7,Orthodox,1988/11/10
634,David Mitchell,182.88,77.11,190.5,22,7,0,32.0,2.06,55.0,0.66,29.0,,Orthodox,1979/10/24
635,David Onama,180.34,65.77,187.96,14,2,0,50.0,4.73,52.0,1.08,52.0,0.5,Orthodox,1994/06/07
636,David Roberts,185.42,77.11,,5,8,0,0.0,0.0,0.0,0.0,0.0,,Orthodox,1975/11/15
637,David Terrell,185.42,83.91,,6,2,0,63.0,2.7099999999999995,37.0,5.54,0.0,5.5,Southpaw,1978/01/09
638,David Teymur,175.26,70.31,185.42,8,2,0,43.0,3.53,55.0,0.94,77.0,0.0,Southpaw,1989/05/01
639,David Velasquez,165.1,65.77,,10,10,0,0.0,0.0,0.0,0.0,0.0,,Orthodox,
640,David Zawada,182.88,77.11,190.5,17,7,0,41.0,4.54,55.0,0.97,57.0,1.7,Orthodox,1990/08/01
641,DeAnna Bennett,162.56,56.7,172.72,8,3,1,,3.27,,0.0,0.0,1.0,Orthodox,1984/11/18
642,Dean Barry,177.8,77.11,182.88,4,2,0,,4.66,,0.0,100.0,0.0,Orthodox,1992/07/03
643,Dean Lister,185.42,83.91,190.5,13,7,0,35.0,1.89,61.0,1.58,50.0,1.1,Orthodox,1976/02/13
644,Deiveson Figueiredo,165.1,61.23,172.72,24,5,1,54.0,3.6399999999999997,49.0,1.69,58.0,1.4,Orthodox,1987/12/18
645,Delson Heleno,180.34,83.91,,29,10,0,,4.83,,0.0,0.0,0.0,Orthodox,1977/11/16
646,Demetrious Johnson,160.02,56.7,167.64,27,3,1,54.0,1.66,67.0,3.35,65.0,0.5,Orthodox,1986/08/13
647,Demian Maia,185.42,77.11,182.88,28,11,0,43.0,2.07,63.0,2.49,61.0,1.0,Southpaw,1977/11/06
648,Denis Kang,180.34,83.91,195.58,35,16,2,35.0,1.6499999999999997,67.0,2.51,38.0,1.2,Orthodox,1977/09/17
649,Denis Stojnic,182.88,111.13,,13,3,0,23.0,6.06,36.0,0.0,80.0,,Orthodox,1980/02/02
650,Denis Tiuliulin,185.42,83.91,195.58,10,10,0,41.0,5.23,38.0,0.96,72.0,0.0,Orthodox,1988/05/17
651,Denise Gomes,157.48,52.160000000000004,160.02,11,3,0,50.0,3.04,51.0,1.19,67.0,0.8,Orthodox,1999/12/30
652,Dennis Bermudez,167.64,70.31,167.64,17,9,0,46.0,3.07,59.0,3.8899999999999997,82.0,1.1,Orthodox,1986/12/13
653,Dennis Buzukja,175.26,65.77,177.8,12,5,0,43.0,4.82,48.0,0.63,75.0,0.20000000000000004,Switch,1997/10/01
654,Dennis Hallman,175.26,70.31,182.88,53,20,2,44.0,1.96,43.0,1.79,25.0,2.1,Orthodox,1975/12/02
655,Dennis Siver,167.64,65.77,177.8,23,11,0,32.0,2.67,65.0,0.87,65.0,0.3,Orthodox,1979/01/13
656,Denys Bondar,167.64,56.70000000000001,175.26,14,5,0,50.0,5.16,56.0,3.99,62.0,,Orthodox,1992/06/27
657,Dequan Townsend,190.5,92.99,200.66,21,12,0,34.0,3.92,38.0,0.0,46.0,0.0,Orthodox,1986/05/11
658,Derek Brunson,185.42,83.91,195.58,23,9,0,47.0,3.05,51.0,3.1399999999999997,85.0,0.6,Southpaw,1984/01/04
659,Derek Downey,185.42,83.91,,11,4,0,100.0,3.36,12.0,2.4,0.0,,Orthodox,1980/04/27
660,Deron Winn,167.64,83.91,177.8,7,3,0,44.0,6.21,46.0,4.28,40.0,0.0,Orthodox,1989/06/13
661,Derrick Krantz,177.8,77.11,182.88,22,12,0,37.0,4.03,50.0,3.18,0.0,,Orthodox,1988/01/13
662,Derrick Lewis,190.5,117.93,200.66,29,12,0,50.0,2.49,40.0,0.56,52.0,0.0,Orthodox,1985/02/07
663,Derrick Noble,175.26,77.11,,27,15,1,40.0,3.79,59.0,0.0,0.0,,Southpaw,1978/08/14
664,Desmond Green,177.8,70.31,185.42,23,8,0,46.0,2.5100000000000002,69.0,1.6199999999999999,75.0,0.0,Southpaw,1989/10/11
665,Devin Clark,182.88,92.99,190.5,14,9,0,54.0,3.24,44.0,2.17,58.0,0.1,Orthodox,1990/04/12
666,Devin Powell,182.88,70.31,185.42,9,4,0,,3.67,,0.0,0.0,0.6,Orthodox,1988/03/01
667,Devonte Smith,175.26,70.31,193.04,11,4,0,,3.91,,0.3499999999999999,85.0,0.3,Orthodox,1993/07/30
668,Dhiego Lima,187.96,77.11,190.5,17,9,0,39.0,3.88,58.0,1.26,73.0,0.6,Orthodox,1989/01/31
669,Diana Belbita,170.18,56.7,172.72,15,10,0,41.0,6.55,51.0,0.86,64.0,0.0,Orthodox,1996/06/26
670,Diego Brandao,170.18,65.77,162.56,22,11,0,47.0,3.38,62.0,3.21,80.0,0.6,Orthodox,1987/05/27
671,Diego Ferreira,175.26,70.31,187.96,19,6,0,40.0,3.46,55.0,0.86,57.0,0.6,Orthodox,1985/01/18
672,Diego Lopes,180.34,65.77,182.87999999999997,26,7,0,47.0,4.76,46.0,0.35,67.0,1.9,Orthodox,1994/12/30
673,Diego Nunes,167.64,65.77,170.18,19,7,0,43.0,2.59,58.0,1.18,65.0,0.6,Orthodox,1982/11/30
674,Diego Rivas,172.72,65.77,175.26,10,2,0,40.0,2.14,52.0,1.79,64.0,0.9,Orthodox,1991/11/11
675,Diego Sanchez,177.8,77.11,182.88,31,13,0,37.0,3.02,56.0,1.51,46.0,0.8000000000000002,Southpaw,1981/12/31
676,Diego Saraiva,167.64,70.31,,22,20,1,32.0,3.58,62.0,1.33,0.0,,Orthodox,1982/04/23
677,Dieusel Berto,175.26,90.72,,0,3,0,0.0,0.0,0.0,0.0,0.0,,,
678,Dileno Lopes,165.1,61.23,,19,3,0,36.0,3.33,53.0,2.5,100.0,,,1984/09/26
679,Din Thomas,175.26,70.31,,26,9,0,37.0,2.6,59.0,1.38,76.0,1.2,Orthodox,1976/09/28
680,Dione Barbosa,167.64,56.70000000000001,167.64,8,3,0,50.0,2.73,67.0,1.93,42.0,2.3,Orthodox,1992/05/08
681,Diyar Nurgozhay,187.96,92.99,187.96,10,1,0,,3.4,,2.0,100.0,0.0,Southpaw,1997/04/22
682,Djorden Santos,182.88,83.91,190.5,10,2,0,,5.87,,1.0,86.0,0.0,Orthodox,1997/08/01
683,Dmitri Stepanov,190.5,98.43,,0,1,0,0.0,0.0,0.0,0.0,0.0,,Orthodox,
684,Dmitrii Smoliakov,187.96,114.76,187.96,9,3,0,42.0,3.81,55.0,0.0,75.0,0.0,Switch,1982/08/05
685,Dmitry Sosnovskiy,190.5,108.86,195.58,11,0,0,70.0,2.53,35.0,3.16,100.0,,Orthodox,1989/07/06
686,Dokonjonosuke Mishima,170.18,70.31,,21,7,2,41.0,1.22,52.0,2.47,25.0,,Southpaw,1972/04/19
687,Domingo Pilarte,182.88,61.23,185.42,8,3,0,47.0,2.9599999999999995,40.0,1.2,54.0,0.8,Southpaw,1990/01/05
688,Dominic Waters,185.42,77.11,200.66,9,5,0,23.0,2.53,39.0,4.07,28.0,,Orthodox,1989/04/11
689,Dominick Cruz,172.72,61.23,172.72,24,4,0,33.0,2.61,70.0,2.82,83.0,0.10000000000000002,Orthodox,1985/03/09
690,Dominick Reyes,193.04,92.99,195.57999999999998,15,4,0,54.0,3.54,50.0,0.31,82.0,0.3,Southpaw,1989/12/26
691,Dominique Steele,177.8,77.11,187.96,14,9,0,49.0,2.42,50.0,2.95,76.0,0.0,Orthodox,1988/01/27
692,Don Frye,185.42,99.34,,20,9,1,64.0,3.5699999999999994,37.0,0.9099999999999999,45.0,0.7,Orthodox,1965/11/23
693,Don Madge,182.88,70.31,182.88,9,3,1,52.0,0.74,67.0,2.22,80.0,0.7,Southpaw,1990/11/12
694,Don Shainis,167.64,65.77,170.18,12,5,0,50.0,5.87,31.0,0.97,20.0,,Orthodox,1990/09/16
695,Don'Tale Mayes,198.12,117.93,205.74,11,9,0,43.0,3.61,46.0,0.59,46.0,0.0,Orthodox,1992/01/16
696,Donald Cerrone,185.42,70.31,185.42,36,17,0,46.0,4.48,53.0,1.16,73.0,1.2,Orthodox,1983/03/29
697,Dong Hyun Kim,187.96,77.11,193.04,22,4,1,49.0,1.8899999999999997,58.0,2.93,71.0,0.6,Southpaw,1981/11/17
698,Dong Hyun Ma,180.34,70.31,177.8,16,11,3,41.0,4.1,54.0,1.27,33.0,0.0,Orthodox,1988/09/09
699,DongHun Choi,165.1,56.7,167.64,9,0,0,66.0,3.13,58.0,0.46,81.0,,Switch,1999/01/02
700,Dongi Yang,177.8,83.91,185.42,13,3,0,51.0,3.21,63.0,1.7,61.0,0.5,Southpaw,1984/12/07
701,Donnie Chappell,180.34,80.74,,0,1,0,0.0,0.0,0.0,0.0,0.0,,Southpaw,
702,Donny Walker,175.26,61.23,,15,10,0,37.0,3.85,46.0,0.0,57.0,,,1980/01/04
703,Dooho Choi,177.8,65.77,177.8,16,4,1,56.0,4.02,56.0,1.43,47.0,0.6,Orthodox,1991/04/10
704,Dorian Price,190.5,77.11,,8,5,0,0.0,0.0,0.0,0.0,0.0,,Southpaw,1977/08/20
705,Doug Evans,175.26,70.31,,13,10,0,35.0,2.55,55.0,3.19,69.0,,Orthodox,1980/10/10
706,Douglas Silva de Andrade,170.18,61.230000000000004,172.72,29,6,0,38.0,3.93,57.0,0.55,72.0,0.2,Orthodox,1985/06/22
707,Drakkar Klose,175.26,70.31,177.80000000000004,15,3,1,55.0,3.5400000000000005,50.0,1.6499999999999997,69.0,0.0,Orthodox,1988/03/09
708,Drako Rodriguez,172.72,61.23,175.26,7,3,0,36.0,4.4,58.0,2.93,75.0,,Orthodox,1996/06/16
709,Drew Dober,172.72,70.31,177.8,27,15,0,40.0,4.33,51.0,0.66,56.0,0.10000000000000002,Southpaw,1988/10/19
710,Drew Fickett,177.8,70.31,177.8,42,21,0,41.0,2.29,57.0,1.3,30.0,2.2,Orthodox,1979/12/14
711,Drew McFedries,182.88,83.91,182.88,12,7,0,51.0,4.56,52.0,1.42,56.0,0.7,Southpaw,1978/07/27
712,Dricus Du Plessis,185.42,83.91,193.04,23,2,0,48.0,4.9,54.0,2.55,50.0,0.7,Switch,1994/01/14
713,Duane Ludwig,177.8,77.11,177.8,21,14,0,44.0,3.05,57.0,0.43,59.0,0.1,Orthodox,1978/08/04
714,Duda Santana,170.18,65.77,185.42,3,1,0,39.0,2.72,73.0,6.44,0.0,,Orthodox,1996/01/10
715,Dusko Todorovic,185.42,83.91,187.96,12,6,0,57.0,4.53,47.0,1.5,42.0,0.2,Orthodox,1994/05/19
716,Dustin Hazelett,185.42,77.11,193.04,12,7,0,40.0,3.5099999999999993,46.0,0.55,25.0,4.1,Orthodox,1986/04/29
717,Dustin Jacoby,190.5,92.99,193.04,21,9,1,47.0,4.02,57.0,0.33,62.0,0.0,Orthodox,1988/04/04
718,Dustin Kimura,170.18,61.23,180.34,11,3,0,21.0,3.8199999999999994,51.0,0.93,50.0,2.2,Orthodox,1989/05/21
719,Dustin Neace,175.26,65.77,175.26,25,21,1,32.0,2.66,56.0,0.0,0.0,,,1986/09/12
720,Dustin Ortiz,165.1,56.7,165.1,19,8,0,44.0,2.17,56.0,3.0100000000000002,52.0,0.1,Orthodox,1988/12/25
721,Dustin Pague,175.26,61.23,187.96,12,11,0,53.0,2.9599999999999995,41.0,1.03,55.0,2.6,Orthodox,1987/08/05
722,Dustin Poirier,175.26,70.31,182.88,30,9,0,50.0,4.33,52.0,1.24,64.0,1.3,Southpaw,1989/01/19
723,Dustin Stoltzfus,182.88,83.91,190.5,16,7,0,45.0,3.14,47.0,2.26,46.0,1.3,Orthodox,1991/11/15
724,Dwayne Cason,177.8,96.16,,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,
725,Dwight Grant,185.42,83.91,193.04,11,6,0,36.0,2.66,60.0,0.61,66.0,0.0,Switch,1984/09/14
726,Dylan Andrews,185.42,83.91,187.96,18,7,0,,2.72,,2.83,57.0,0.4,Switch,1979/11/15
727,Dylan Budka,182.88,83.91,190.5,7,5,0,38.0,1.8,42.0,1.93,76.0,0.4,Switch,2000/01/14
