,name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,stance,dob
42,Albert Duraev,180.34,83.91,190.5,16,5,0,40.0,3.01,59.0,1.97,66.0,0.6,Orthodox,1989/01/05
43,Albert Morales,175.26,61.23,182.88,7,4,1,35.0,3.9599999999999995,56.0,0.91,70.0,0.20000000000000004,Orthodox,1991/05/25
44,Albert Tumenov,180.34,77.11,185.42,18,4,0,42.0,3.34,58.0,0.2,75.0,0.0,Orthodox,1991/12/26
45,Alberta Cerra Leon,172.72,107.95,,0,1,0,0.0,0.0,0.0,0.0,0.0,,,
46,Alberto Crane,165.1,70.31,,15,5,0,25.0,2.61,57.0,0.0,50.0,,Orthodox,1976/07/14
47,Alberto Mina,182.88,77.11,195.58,13,1,0,38.0,3.7,47.0,1.85,50.0,0.0,Orthodox,1982/05/02
48,Alberto Uda,190.5,83.91,,12,2,0,52.0,3.49,45.0,2.83,66.0,0.0,Orthodox,1984/08/08
49,Alejandro Perez,167.64,61.230000000000004,170.18,23,9,1,35.0,3.18,61.0,0.54,70.0,0.3,Orthodox,1989/09/02
50,Aleksa Camur,185.42,92.99,187.96,6,3,0,57.0,4.26,54.0,0.46,50.0,0.0,Orthodox,1995/09/25
51,Aleksandar Rakic,193.04,92.99,198.12,14,5,0,50.0,2.91,51.0,0.66,85.0,,Orthodox,1992/02/06
52,Aleksandra Albu,157.48,52.16,160.02,3,2,0,47.0,5.56,38.0,2.27,77.0,0.4,Orthodox,1990/07/14
53,Aleksandre Topuria,170.18,61.23,172.72,6,1,0,51.0,2.53,70.0,1.0,100.0,,Orthodox,1996/01/28
54,Aleksei Kunchenko,172.72,77.11,177.8,20,2,0,44.0,2.83,63.0,0.25,80.0,0.0,Orthodox,1984/05/02
55,Aleksei Oleinik,187.96,108.86,203.2,60,17,1,48.0,3.8,44.0,1.82,37.0,1.9,Orthodox,1977/06/20
56,Alen Amedovski,177.8,83.91,187.96,8,4,0,30.0,3.85,46.0,0.0,0.0,0.0,Orthodox,1988/04/06
57,Alessandro Costa,162.56,56.7,170.18,14,4,0,47.0,3.5,57.0,0.27,90.0,0.0,Orthodox,1996/01/28
58,Alessio Di Chirico,182.88,83.91,187.96,13,7,0,39.0,3.4399999999999995,61.0,1.46,83.0,0.0,Orthodox,1989/12/12
59,Alessio Sakara,182.88,83.91,182.88,19,11,0,47.0,2.8,59.0,2.18,62.0,0.0,Orthodox,1981/09/02
60,Alex Andrade,180.34,90.72,,10,5,0,36.0,2.6,53.0,0.0,25.0,,Orthodox,1974/05/14
61,Alex Caceres,177.8,65.77,185.42,21,15,0,49.0,3.0899999999999994,62.0,0.5400000000000001,64.0,0.7,Southpaw,1988/06/20
62,Alex Chambers,160.02,52.15999999999999,160.02,5,5,0,54.0,5.1,50.0,2.31,53.0,1.0,Southpaw,1978/10/25
63,Alex Da Silva,172.72,70.31,185.42,21,4,0,46.0,2.52,56.0,1.97,76.0,,Orthodox,1996/02/04
64,Alex Garcia,175.26,77.11,182.88,15,6,0,31.0,3.03,59.0,3.72,66.0,0.1,Orthodox,1987/07/14
65,Alex Gorgees,187.96,70.31,187.96,6,1,0,,2.27,,0.0,54.0,0.0,Switch,1995/08/11
66,Alex Hunter,175.26,102.51,,2,0,0,,0.0,,0.0,0.0,0.0,Orthodox,
67,Alex Karalexis,172.72,70.31,167.64,10,6,0,42.0,2.39,54.0,2.7000000000000006,86.0,0.9,Orthodox,1977/09/20
68,Alex Morono,180.33999999999997,77.11,182.88,24,12,0,40.0,4.78,56.0,0.33,47.0,0.3,Orthodox,1990/08/16
69,Alex Nicholson,193.04,83.91,195.58,7,4,0,43.0,4.65,47.0,0.0,50.0,,Orthodox,1990/05/02
70,Alex Oliveira,180.34,77.11,193.04,22,12,1,51.0,2.55,46.0,2.35,63.0,0.6,Orthodox,1988/02/21
71,Alex Pereira,193.04,92.99,200.65999999999997,12,3,0,62.0,3.5,53.0,0.11,78.0,0.2,Orthodox,1987/07/07
72,Alex Perez,167.64,56.70000000000001,165.1,25,9,0,46.0,3.2000000000000006,58.0,2.04,77.0,0.8,Orthodox,1992/03/21
73,Alex Reyes,180.34,70.31,185.42,13,5,0,46.0,6.919999999999999,48.0,1.5,0.0,0.0,Orthodox,1986/10/02
74,Alex Ricci,180.34,70.31,,10,5,0,41.0,2.53,64.0,0.0,64.0,,Orthodox,1982/07/21
75,Alex Schoenauer,190.5,83.91,,15,10,0,40.0,2.27,42.0,0.0,22.0,,Orthodox,1976/05/05
76,Alex Soto,172.72,61.23,,8,3,1,25.0,5.02,59.0,2.82,0.0,0.0,Southpaw,1984/02/15
77,Alex Stiebling,187.96,92.99,,19,11,1,42.0,1.45,52.0,0.35,66.0,,Southpaw,
78,Alex Torres,177.8,65.77,,5,4,0,37.0,2.73,69.0,2.0,50.0,,Orthodox,1988/05/29
79,Alex White,182.88,70.31,180.34,13,6,0,42.0,3.07,60.0,0.9200000000000002,71.0,0.5,Southpaw,1988/10/22
80,Alexa Grasso,165.1,56.7,167.64000000000001,16,5,1,41.0,3.73,58.0,0.41,54.0,0.6,Orthodox,1993/08/09
81,Alexander Gustafsson,195.58,92.99,200.66,18,8,0,40.0,3.53,51.0,1.53,83.0,0.4,Orthodox,1987/01/15
82,Alexander Hernandez,175.25999999999996,70.31,182.88,16,8,0,40.0,4.62,57.0,1.24,71.0,0.1,Orthodox,1992/10/01
83,Alexander Munoz,175.26,70.31,182.88,7,2,0,42.0,4.73,55.0,3.0,100.0,0.0,Switch,1990/02/27
84,Alexander Volkanovski,167.64,65.77,180.34,27,4,0,56.0,3.36,58.0,1.67,70.0,0.2,Orthodox,1988/09/29
85,Alexander Volkov,200.66,113.4,203.2,38,11,0,57.0,2.99,54.0,0.61,72.0,0.2,Orthodox,1988/10/24
86,Alexander Yakovlev,190.5,70.31,187.96,24,10,1,47.0,2.41,58.0,1.66,72.0,0.1,Southpaw,1984/07/18
87,Alexandr Romanov,187.96,118.84,190.5,18,3,0,51.0,2.13,54.0,4.49,28.0,0.9,Southpaw,1990/12/11
88,Alexandre Barros,175.26,77.11,,22,11,0,40.0,4.05,36.0,1.84,100.0,,Southpaw,1976/11/19
89,Alexandre Dantas,187.96,107.95,,0,3,0,25.0,1.87,60.0,0.0,0.0,,Orthodox,1979/03/01
90,Alexandre Ferreira,170.18,92.99,,18,6,0,60.0,8.14,42.0,0.0,0.0,,Orthodox,1979/04/25
91,Alexandre Pantoja,165.1,56.7,170.18,30,5,0,50.0,3.8799999999999994,49.0,2.8,69.0,1.0,Orthodox,1990/04/16
92,Alexia Thainara,162.56,52.16,170.18,12,1,0,40.0,2.82,70.0,3.07,0.0,,Orthodox,1995/11/20
93,Alexis Davis,167.64000000000001,61.23,172.72,21,11,0,49.0,4.45,54.0,0.95,34.0,0.7,Orthodox,1984/10/04
94,Alexis Dufresne,175.26,61.23,,6,3,0,27.0,3.33,60.0,1.5,50.0,0.0,Orthodox,1990/08/31
95,Alfonso Alcarez,160.02,65.77,,1,3,1,0.0,0.0,0.0,0.0,0.0,,,1970/06/10
96,Ali AlQaisi,167.64,61.23,172.72,8,5,0,42.0,1.97,56.0,3.5,60.0,1.0,Orthodox,1990/09/23
97,Ali Bagautinov,162.56,56.7,165.1,15,6,0,42.0,3.09,52.0,2.5100000000000002,65.0,0.3,Orthodox,1985/06/10
98,Aliaskhab Khizriev,175.26,83.91,187.96,14,0,0,,4.38,,5.64,100.0,3.8,Southpaw,1990/08/24
99,Alice Ardelean,160.02,52.16,157.48,10,7,0,44.0,5.04,57.0,1.0,87.0,,Orthodox,1992/04/19
100,Alistair Overeem,193.04,120.2,203.2,47,19,0,64.0,2.44,57.0,1.42,73.0,0.8,Orthodox,1980/05/17
