name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Rashid Magomedov,Highlander,Orthodox,170,43.45,82.08,31.21,0.0,89.18,14.35,37.21,13.49,20,2,0,5,1.0,0.0,0.0,6,0,Unranked,13.0,['lightweight'],lightweight,1984/11/29,78.42,87.41,75.49,87.0,73.24,72.41,26.77,27.24,36.08,27.91,89.32,45.7,,45.64,57.06,100.0
Junior Assuncao,,Orthodox,171,43.36,74.27,33.16,60.72,52.54,5.82,58.14,41.68,16,6,0,2,3.0,0.0,0.0,5,0,Unranked,Unranked,"['featherweight', 'lightweight']",lightweight,1981/06/24,74.04,62.39,92.45,68.2,52.98,65.0,35.43,33.0,29.57,32.74,64.47,64.79,64.75,65.68,47.66,27.71
Takanori Gomi,The Fireball Kid,Southpaw,172,43.24,71.0,38.04,52.24,47.95,11.83,58.14,8.11,35,14,0,4,9.0,0.0,0.0,13,0,Unranked,Unranked,['lightweight'],lightweight,1978/09/22,75.36,67.4,69.74,71.5,63.05,55.62,35.57,32.73,46.62,35.02,61.85,59.28,67.47,59.2,23.01,11.28
Anton Kuivanen,,Orthodox,173,43.08,62.85,51.85,58.13,58.53,2.92,23.26,29.08,24,10,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['lightweight'],lightweight,1984/05/01,63.14,61.04,67.14,60.08,70.73,68.5,45.58,41.81,73.21,44.32,67.51,57.21,59.05,57.13,59.13,27.38
Shannon Gugerty,,Orthodox,174,43.0,61.08,28.5,72.46,47.35,5.82,93.02,24.3,15,7,0,2,3.0,0.0,0.0,5,0,Unranked,Unranked,['lightweight'],lightweight,1981/12/30,55.09,60.67,68.29,60.28,60.08,62.85,30.95,27.89,27.45,27.52,55.47,72.26,100.0,74.15,35.58,11.0
Alexander Munoz,,Switch,175,42.95,69.55,37.11,59.07,68.41,2.92,23.26,25.0,7,2,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['lightweight'],lightweight,1990/02/27,73.98,68.76,70.19,65.27,68.68,56.61,40.14,33.97,35.65,30.93,87.59,56.62,52.43,56.54,70.69,60.75
MarQuel Mederos,,Orthodox,176,42.91,75.64,3.19,59.07,96.65,8.57,23.26,22.38,11,1,0,3,,,,3,0,Unranked,Unranked,['lightweight'],lightweight,1996/11/30,85.68,63.97,85.6,67.31,78.81,74.77,2.79,3.13,2.59,3.19,88.79,56.62,52.43,56.54,70.69,100.0
Gilbert Melendez,El Nino,Orthodox,177,42.77,65.28,29.58,57.36,56.0,24.3,23.26,7.34,22,8,0,1,6.0,0.0,0.0,7,0,13.0,1.0,"['featherweight', 'lightweight']",lightweight,1982/04/12,69.33,74.63,59.75,57.41,67.82,63.47,29.4,28.18,30.96,26.32,67.54,57.2,56.0,57.13,59.12,25.16
Teemu Packalen,Pacu,Orthodox,178,42.69,70.19,24.65,68.22,47.78,2.96,93.02,8.92,8,3,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['lightweight'],lightweight,1987/05/22,67.34,61.59,84.15,67.68,52.93,52.54,26.14,22.15,22.32,21.01,74.56,60.59,75.96,64.7,71.63,11.08
Frankie Perez,,Orthodox,179,42.65,64.06,30.18,60.21,52.73,2.96,93.02,19.27,10,4,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['lightweight'],lightweight,1989/05/11,58.87,59.67,70.9,66.8,60.81,65.04,31.35,28.46,32.54,28.08,58.84,56.63,56.95,56.55,70.71,26.24
Shane Nelson,Sugar,Southpaw,180,42.61,60.76,20.07,66.11,74.0,5.78,58.14,24.61,16,7,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['lightweight'],lightweight,1984/11/29,55.36,62.46,60.05,65.18,75.74,70.44,20.21,20.76,18.44,19.56,69.41,62.46,75.82,56.07,70.1,80.41
Evan Elder,The Phenom,Switch,181,42.34,77.3,12.31,64.9,67.33,8.65,46.51,11.99,10,2,0,3,2.0,0.0,0.0,5,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1997/04/11,91.64,65.71,79.24,72.61,73.62,57.91,11.77,12.85,11.78,12.39,64.18,63.51,60.43,64.38,71.28,73.61
Chris Padilla,Taco,Orthodox,182,42.3,71.22,23.47,0.0,97.46,8.57,69.77,17.54,16,6,0,3,,,,3,0,Unranked,Unranked,['lightweight'],lightweight,1995/09/14,78.55,66.33,79.59,60.41,78.03,70.11,22.91,21.04,22.39,20.56,97.22,45.7,,51.54,57.06,100.0
