name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Kalib Starnes,,Orthodox,182,40.66,69.96,27.08,62.76,47.06,6.42,58.14,14.21,17,11,1,2,3.0,0.0,0.0,5,0,Unranked,Unranked,['middleweight'],middleweight,1975/01/06,71.39,69.29,76.21,62.95,62.17,49.9,28.55,27.86,28.27,27.18,48.08,58.84,59.22,63.8,69.18,28.09
Clifford Starks,,Orthodox,184,40.61,62.38,53.62,53.85,45.83,3.21,23.26,20.92,13,3,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['middleweight'],middleweight,1981/04/25,63.05,65.41,59.24,61.81,59.64,57.13,52.47,43.03,73.87,46.22,56.01,54.05,50.64,54.25,56.45,10.54
Andrew Craig,Highlight,Orthodox,185,40.55,70.5,24.19,53.85,56.44,9.63,46.51,12.36,9,4,0,3,4.0,0.0,0.0,7,0,Unranked,Unranked,"['welterweight', 'middleweight']",middleweight,1986/01/15,66.61,77.7,65.96,71.73,59.48,59.56,21.39,22.45,25.01,23.93,66.76,54.05,50.64,54.25,56.45,39.96
Tor Troeng,The Hammer,Orthodox,186,40.39,64.91,17.03,61.72,53.93,3.26,93.02,28.43,16,7,1,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['middleweight'],middleweight,1983/01/25,57.72,63.0,75.11,63.81,45.35,58.37,15.47,18.67,13.84,17.82,64.95,58.84,55.06,63.8,69.18,47.05
Claudio Ribeiro,,Orthodox,187,40.19,74.57,24.96,56.32,37.36,3.26,93.02,8.33,11,5,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['middleweight'],middleweight,1992/07/17,80.41,68.65,80.2,69.02,39.05,41.86,22.51,22.22,28.74,22.89,58.02,53.46,50.09,53.66,68.06,10.51
Falaniko Vitale,Niko,Orthodox,188,40.13,67.7,18.62,56.32,51.76,3.17,93.02,13.36,30,11,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1974/07/14,64.79,63.29,78.65,64.07,55.33,53.25,17.14,16.51,18.88,16.8,70.2,53.46,50.09,53.66,68.06,28.25
Oluwale Bamgbose,Holy War Angel,Switch,189,39.59,72.25,19.53,56.32,42.94,3.31,93.02,3.33,6,4,0,1,4.0,0.0,0.0,5,0,Unranked,Unranked,['middleweight'],middleweight,1987/08/04,69.89,67.21,77.24,74.66,57.55,55.91,19.76,19.13,21.06,18.41,47.74,53.46,50.09,53.66,68.06,10.56
Daniel Sarafian,,Orthodox,190,39.56,69.12,8.93,61.29,51.39,6.46,93.02,6.34,10,6,0,2,4.0,0.0,0.0,6,0,Unranked,Unranked,"['middleweight', 'welterweight']",middleweight,1982/08/21,67.85,64.22,75.13,69.27,64.19,57.36,8.38,9.54,7.81,8.87,57.55,63.51,60.76,63.98,56.91,26.46
Denis Tiuliulin,,Orthodox,191,39.45,72.98,23.84,51.37,39.68,3.35,93.02,4.1,10,10,0,1,5.0,0.0,0.0,6,0,Unranked,Unranked,['middleweight'],middleweight,1988/05/17,78.99,71.86,68.13,72.94,45.85,40.65,22.55,21.97,25.62,21.25,61.49,54.7,51.25,54.91,44.62,10.73
Josh Fremd,,Orthodox,192,39.39,68.27,22.54,62.67,47.23,6.46,58.14,18.93,11,6,0,2,4.0,0.0,0.0,6,0,Unranked,Unranked,['middleweight'],middleweight,1994/01/15,68.84,70.83,71.16,62.24,54.13,61.66,21.59,23.04,22.53,24.72,47.33,63.51,66.31,63.97,56.9,25.79
Tony Fryklund,The Freak,Orthodox,193,39.24,69.29,3.71,58.13,46.95,13.38,100.0,18.48,14,9,1,2,2.0,0.0,0.0,4,0,Unranked,Unranked,"['middleweight', 'lightweight', '14 middleweight tournament']",middleweight,1971/03/26,79.17,62.11,67.11,68.77,55.36,36.3,3.35,3.62,3.09,3.84,66.18,64.23,58.64,64.7,44.95,29.96
Sedriques Dumas,The Reaper,Orthodox,194,39.14,67.17,32.23,54.53,50.77,9.58,23.26,25.32,10,3,0,3,3.0,0.0,0.0,6,0,Unranked,Unranked,['middleweight'],middleweight,1995/08/06,65.81,66.68,73.14,63.05,61.52,61.13,31.66,31.25,32.77,35.23,52.21,54.04,53.39,54.25,56.44,28.22
