name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Chris Kelades,The Greek Assassin,Orthodox,86,36.62,60.97,20.25,58.85,58.8,6.05,23.26,30.53,9,3,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['flyweight'],flyweight,1981/02/21,57.49,63.03,65.72,57.64,52.55,69.99,19.64,21.5,18.5,20.91,59.67,58.08,57.84,58.21,61.27,53.0
CJ Vergara,,Orthodox,87,36.1,74.19,4.81,56.28,50.51,9.2,46.51,14.33,12,7,1,3,5.0,0.0,0.0,8,0,Unranked,Unranked,['flyweight'],flyweight,1991/06/18,86.46,62.87,87.99,59.44,59.23,51.66,4.38,4.69,3.84,5.4,62.18,62.7,56.29,58.46,47.67,28.96
Roldan Sangcha'an,The Executioner,Orthodox,88,35.39,62.65,38.38,57.5,45.47,0.04,0.0,16.71,4,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1990/12/04,62.07,57.57,71.93,59.02,49.21,63.58,38.26,32.6,47.27,32.86,58.4,58.07,52.47,58.2,61.26,10.7
Daniel Barez,,Orthodox,89,35.18,70.45,22.69,57.42,43.03,3.06,23.26,5.81,17,7,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['flyweight'],flyweight,1988/12/10,73.19,55.89,78.1,74.63,51.79,39.27,23.6,20.13,22.03,19.92,69.47,58.78,63.96,58.91,48.04,11.58
Phil Harris,Billy,Orthodox,90,34.64,51.71,21.88,57.5,59.57,3.14,23.26,10.13,22,12,0,1,3.0,0.0,1.0,5,0,Unranked,Unranked,['flyweight'],flyweight,1983/09/04,54.41,58.96,38.35,55.12,82.7,64.16,22.76,22.83,20.16,20.39,62.16,58.07,52.47,58.2,61.26,29.26
Mitch Raposo,,Switch,91,34.37,52.75,36.75,60.28,49.69,0.04,0.0,23.73,9,3,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1998/10/16,49.61,53.23,50.59,57.58,59.79,61.22,44.28,35.77,37.67,32.31,54.37,57.43,51.9,57.56,74.24,23.38
Jose Maria,No Chance,Orthodox,92,34.15,67.33,24.73,71.88,40.23,0.04,0.0,11.47,37,7,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1982/01/04,68.47,56.22,84.41,60.22,53.1,52.93,28.92,24.73,25.51,23.45,43.66,65.4,91.61,57.0,73.51,11.23
Daniel Lacerda,Miojo,Switch,93,32.97,71.93,36.06,60.11,23.46,0.22,0.0,7.29,11,6,0,0,5.0,0.0,1.0,6,0,Unranked,Unranked,['flyweight'],flyweight,1996/06/05,74.75,62.52,70.32,80.13,29.64,22.4,42.87,35.79,46.73,35.6,29.53,58.75,74.78,58.89,48.02,12.27
Carlos Candelario,The Cannon,Southpaw,94,32.72,65.56,29.59,58.85,37.49,0.04,0.0,27.29,8,3,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1991/06/04,75.39,55.26,72.28,59.31,41.41,43.8,32.61,26.9,31.56,27.54,53.56,58.08,57.84,58.21,61.27,11.19
Jose Ochoa,Kalzifer,Southpaw,95,32.32,61.83,0.47,0.0,77.32,3.01,93.02,4.36,8,1,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,2000/12/31,71.57,63.1,49.53,63.12,84.2,72.4,0.43,0.47,0.38,0.47,72.1,44.01,,44.11,56.89,80.58
Geane Herrera,La Pulga,Orthodox,96,32.03,54.75,22.58,0.0,55.61,3.1,93.02,5.2,9,3,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['flyweight'],flyweight,1990/05/27,46.92,63.69,46.02,62.37,62.52,52.64,22.12,22.38,26.07,21.68,54.38,44.01,,44.11,56.89,52.9
Felipe Bunes,Felipinho,Orthodox,97,31.71,70.9,24.7,0.0,35.24,3.01,93.02,11.82,14,7,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1989/10/29,81.24,59.11,83.6,59.65,45.23,28.76,31.92,25.82,26.72,25.11,32.84,44.01,,52.74,56.89,34.12
Jose Torres,Shorty,Orthodox,98,31.49,61.84,21.58,0.0,46.88,3.01,93.02,3.73,8,1,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1992/08/02,76.68,58.78,54.72,57.18,62.01,10.78,21.09,19.23,22.49,19.13,80.06,44.01,,44.11,56.89,34.67
Felipe dos Santos,Lipe Detona,Orthodox,99,31.35,63.77,2.76,62.51,49.04,3.1,23.26,6.93,8,3,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['flyweight'],flyweight,2000/09/11,67.98,74.86,57.1,55.14,42.07,61.37,2.72,3.33,2.38,3.05,41.93,57.45,60.74,57.58,74.27,50.78
Denys Bondar,Psycho,Orthodox,100,31.13,70.3,47.39,0.0,44.63,0.09,0.0,14.1,14,5,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['flyweight'],flyweight,1992/06/27,80.43,65.32,77.15,58.31,60.96,45.59,56.43,40.68,54.86,39.13,60.34,44.01,,44.11,46.43,11.63
Iliarde Santos,,Orthodox,101,30.83,55.46,20.75,60.28,46.79,0.09,0.0,12.03,30,13,1,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['flyweight', 'bantamweight']",flyweight,1980/09/25,61.57,59.7,44.7,55.87,63.65,38.98,20.77,19.56,19.04,18.54,72.67,57.43,51.9,57.56,74.24,11.85
Yao Zhikui,The Conqueror,Orthodox,102,30.46,46.4,14.48,60.28,48.73,3.1,23.26,17.47,2,4,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['flyweight', 'bantamweight']",flyweight,1991/02/07,45.38,54.68,30.88,54.66,48.42,63.1,13.74,14.71,13.35,14.59,57.55,57.43,51.9,57.56,74.24,25.85
Shannon Ross,The Turkish Delight,Switch,103,28.37,67.3,0.0,60.28,46.64,0.09,0.0,0.0,13,9,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['flyweight'],flyweight,1989/05/12,93.48,58.15,59.82,57.76,61.83,29.28,0.0,0.0,0.0,0.0,83.36,57.43,51.9,57.56,74.24,12.09
Darrell Montague,Mongoose,Southpaw,104,28.11,49.91,15.64,66.53,39.0,0.09,0.0,3.32,13,5,0,0,3.0,0.0,0.0,3,0,Unranked,13.0,['flyweight'],flyweight,1987/11/03,50.47,56.97,36.97,55.22,55.1,43.96,15.84,15.75,16.85,15.58,45.3,57.49,76.69,57.62,74.32,11.65
Yasuhiro Urushitani,,Southpaw,105,28.07,60.53,0.11,60.28,51.7,0.04,0.0,0.0,21,8,6,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1976/09/08,69.3,53.68,60.61,58.53,75.11,49.56,0.1,0.11,0.09,0.11,70.39,57.43,51.9,57.56,74.24,11.74
Elias Garcia,,Southpaw,106,26.96,51.73,10.42,65.08,38.28,0.04,0.0,2.49,6,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1992/09/13,48.57,53.91,40.93,63.51,51.27,45.8,10.73,11.0,10.15,10.55,44.58,65.92,76.47,57.45,60.48,11.47
Paddy Holohan,The Hooligan,Orthodox,107,25.58,0.0,50.35,71.16,0.0,9.07,46.51,64.89,12,2,1,3,2.0,0.0,0.0,5,0,Unranked,Unranked,['flyweight'],flyweight,1988/05/03,41.41,39.24,,48.79,,54.98,51.51,45.3,51.38,52.96,50.61,79.36,75.23,69.17,60.89,54.0
Willie Gates,,Orthodox,108,25.43,60.77,2.98,0.0,36.89,3.1,93.02,17.78,12,7,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['flyweight'],flyweight,1987/01/21,51.67,61.3,58.4,71.71,31.2,48.05,2.7,2.89,2.37,3.18,57.66,44.01,,44.11,35.97,10.65
Igor Severino,,Orthodox,109,24.86,0.0,77.4,60.28,0.0,0.0,0.0,32.0,8,1,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['flyweight'],flyweight,2003/04/21,79.71,39.24,,43.57,,44.78,100.0,57.37,87.29,55.87,59.35,57.43,51.9,57.56,74.24,100.0
Kevin Borjas,El Gallo Negro,Orthodox,110,24.06,71.34,0.66,0.0,48.72,3.06,23.26,1.36,10,3,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['flyweight'],flyweight,1997/12/06,83.49,71.89,66.32,63.67,57.38,41.96,0.61,0.68,0.53,0.66,66.43,44.01,,44.11,56.89,29.11
Zarrukh Adashev,The Lion,Southpaw,111,23.73,62.92,0.86,0.0,55.02,3.1,23.26,2.09,4,4,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['flyweight', 'bantamweight']",flyweight,1992/07/29,68.89,65.95,60.17,56.67,70.73,60.29,0.73,0.82,0.64,0.8,77.78,44.01,,44.11,56.89,11.28
Juancamilo Ronderos,100,Southpaw,112,23.5,52.65,28.13,0.0,43.5,0.04,0.0,7.29,4,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1995/02/17,54.66,53.36,45.59,56.99,69.08,66.61,36.47,27.89,32.62,27.97,27.06,44.01,,44.11,35.97,11.25
Luis Gurule,Grim,Orthodox,113,23.4,70.05,11.85,0.0,45.48,0.0,0.0,24.36,10,1,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['flyweight'],flyweight,1993/11/16,89.79,55.4,75.56,59.45,62.43,55.34,11.73,11.73,11.36,11.79,52.79,44.01,,44.11,56.89,11.35
Stewart Nicoll,Kakamora,Orthodox,114,23.38,0.0,72.31,57.5,0.0,0.0,0.0,22.04,8,1,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['flyweight'],flyweight,1994/11/04,48.18,39.24,,43.57,,66.27000000000001,100.0,57.1,100.0,58.79,32.69,58.07,52.47,58.2,61.26,10.0
Mateus Mendonca,Bocao,Orthodox,115,22.88,57.13,31.33,0.0,31.56,0.09,0.0,43.67,10,3,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['flyweight', 'bantamweight']",flyweight,1999/01/17,50.18,59.23,61.34,57.77,19.38,46.95,34.45,31.25,29.62,30.67,49.71,44.01,,44.11,56.89,10.2
Vinicius Salvador,,Southpaw,116,21.82,69.5,7.68,0.0,42.23,0.09,0.0,1.3,14,7,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['bantamweight', 'flyweight']",flyweight,1996/07/24,86.95,69.8,64.6,56.65,49.09,35.18,6.87,7.44,6.57,7.07,73.0,44.01,,44.11,56.89,11.65
Ronaldo Rodriguez,Lazy Boy,Orthodox,117,20.55,0.0,28.1,69.07,0.0,6.01,58.14,46.64,17,3,0,2,1.0,0.0,0.0,3,0,Unranked,Unranked,['flyweight'],flyweight,1999/05/07,45.82,39.24,,43.57,,48.34,26.39,25.53,29.71,28.41,30.47,62.98,67.35,70.21,75.74,73.33
