name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Hector Urbina,El Toro,Orthodox,232,36.44,62.06,0.67,78.39,43.16,2.95,93.02,4.01,17,10,1,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1987/09/17,54.95,62.26,67.37,63.66,41.45,59.25,0.64,0.71,0.58,0.71,47.1,67.83,100.0,65.39,69.78,24.85
Renato Verissimo,Charuto,Orthodox,233,36.41,66.28,21.82,68.44,47.25,2.95,23.26,23.93,7,5,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1973/08/03,55.44,63.82,81.1,64.77,49.32,62.84,22.68,21.47,21.46,21.57,51.91,59.34,89.88,55.44,69.1,24.93
Kris McCray,Savage,Orthodox,234,36.39,69.51,36.46,53.41,41.53,6.52,0.0,20.63,8,5,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['welterweight', 'ultimate fighter 11 middleweight tournament']",welterweight,1981/09/24,70.64,67.83,75.96,63.62,53.94,56.44,43.26,33.2,40.68,33.63,45.45,56.87,53.56,56.89,46.32,10.28
Trey Waters,The Truth,Orthodox,235,36.02,78.84,13.92,0.0,88.16,5.76,23.26,1.53,9,1,0,2,,,,2,0,Unranked,Unranked,['welterweight'],welterweight,1995/02/21,100.0,78.63,72.74,61.93,75.5,52.87,12.36,12.88,14.07,12.58,85.19,44.96,,44.98,56.06,100.0
Niklas Stolze,Green Mask,Switch,236,35.98,69.17,37.91,59.12,41.59,0.09,0.0,0.79,12,6,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,"['lightweight', 'welterweight']",welterweight,1992/12/28,66.28,65.26,80.7,64.45,48.35,57.15,32.8,32.45,54.87,32.16,50.79,59.8,63.24,55.87,57.56,10.08
Dan Stittgen,The Anvil,Orthodox,237,35.93,70.36,38.43,58.28,40.14,0.04,0.0,0.74,12,5,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1980/11/17,73.64,66.15,77.64,64.0,37.6,45.22,31.79,30.84,52.13,30.51,67.6,55.65,52.42,55.67,69.39,10.13
Nah-Shon Burrell,The Rock n Rolla,Orthodox,238,35.92,75.1,1.06,60.02,67.21,2.91,23.26,10.16,15,7,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1990/02/05,90.65,67.01,78.81,63.93,68.33,62.95,0.98,1.09,0.9,1.11,62.05,59.21,56.6,55.32,68.95,75.51
Igor Araujo,,Orthodox,238,35.92,65.14,16.33,61.17,54.11,5.85,23.26,28.08,25,9,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1980/12/06,60.23,63.77,72.62,63.94,56.98,63.33,16.54,18.01,15.09,18.15,45.64,59.23,61.14,55.34,68.97,50.5
Sergey Khandozhko,Honda,Orthodox,240,35.88,75.32,14.54,0.0,76.55,5.8,58.14,4.39,28,6,1,2,1.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1992/05/19,76.28,75.12,70.15,79.72,73.93,71.53,13.98,14.23,14.5,13.69,67.11,44.96,,44.98,56.06,93.63
Mike Jackson,The Truth,Orthodox,241,35.87,78.76,17.52,55.84,55.12,2.99,0.0,12.92,1,2,0,1,2.0,0.0,1.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1985/03/22,88.65,69.27,92.37,64.75,67.33,54.65,15.87,15.81,17.27,16.52,70.31,56.22,52.95,56.24,57.94,28.19
