name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Tom Duquesnoy,Fire Kid,Orthodox,107,42.27,71.56,12.4,57.76,76.05,6.32,58.14,2.76,16,2,0,2,1.0,0.0,0.0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1993/06/21,76.22,59.64,75.77,74.61,82.52,57.3,11.85,12.45,13.04,11.74,63.62,54.16,53.88,54.56,68.43,100.0
ChangHo Lee,,Orthodox,108,42.23,83.05,33.22,0.0,80.68,6.28,58.14,51.3,11,1,0,2,,,,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1994/05/09,87.91,68.11,100.0,63.46,46.11,80.28,41.93,31.67,33.23,30.91,58.89,44.68,,45.01,56.45,100.0
Dustin Pague,The Disciple,Orthodox,109,42.16,67.66,29.63,72.43,37.79,3.35,93.02,30.18,12,11,0,1,5.0,0.0,0.0,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1987/08/05,56.06,62.95,88.94,62.69,36.0,55.17,27.95,27.64,32.79,30.13,49.95,70.89,83.38,66.72,68.73,10.04
Jose Johnson,Zhakwarius,Orthodox,110,42.04,71.4,30.14,58.96,42.59,3.26,93.02,21.34,16,10,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['flyweight', 'bantamweight']",bantamweight,1995/05/20,62.12,64.87,95.69,62.92,50.78,63.99,27.78,27.66,38.81,28.69,45.37,57.23,65.23,70.2,43.18,10.22
Vaughan Lee,,Orthodox,111,41.71,72.24,22.0,59.82,59.47,9.68,46.51,14.01,14,13,1,3,5.0,0.0,0.0,8,0,Unranked,Unranked,"['bantamweight', 'flyweight']",bantamweight,1982/10/15,69.58,78.54,75.42,65.42,78.74,68.19,20.22,21.2,22.41,21.06,63.95,57.2,68.75,70.16,43.16,27.0
Vince Morales,Vandetta,Orthodox,112,41.65,71.05,24.92,61.67,55.27,9.82,46.51,12.47,16,10,0,3,8.0,0.0,0.0,11,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1990/11/12,66.26,94.31,56.62,67.01,59.34,58.6,22.23,24.72,27.11,24.64,60.8,68.8,57.99,53.18,66.7,42.34
Gustavo Lopez,,Orthodox,112,41.65,62.54,26.88,66.21,48.02,3.26,93.02,10.99,12,6,1,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['bantamweight', 'catch weight']",bantamweight,1989/06/27,62.02,61.12,66.16,60.87,62.39,57.23,29.47,26.85,30.38,24.77,46.6,65.9,62.47,67.23,69.25,25.86
Reuben Duran,,Orthodox,114,41.54,69.45,22.96,66.21,45.31,3.26,93.02,54.52,11,7,1,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1983/07/02,69.17,66.25,80.93,61.46,51.12,62.95,23.14,23.79,22.79,26.06,42.29,65.9,62.47,67.23,69.25,24.88
Andre Ewell,Mr. Highlight,Southpaw,115,41.53,70.71,33.73,56.08,53.52,12.84,23.26,7.08,17,9,0,4,5.0,0.0,0.0,9,0,Unranked,Unranked,"['catch weight', 'bantamweight', 'featherweight']",bantamweight,1988/01/21,75.0,80.74,63.23,63.87,56.35,52.5,27.64,29.35,45.16,29.48,66.91,59.76,55.12,54.67,54.76,38.32
Marco Beltran,Psycho,Orthodox,116,41.49,62.21,27.67,61.17,60.52,9.58,46.51,19.17,8,6,0,3,3.0,0.0,0.0,6,0,Unranked,Unranked,"['flyweight', 'catch weight', 'bantamweight']",bantamweight,1986/05/18,57.49,64.74,60.68,65.93,72.29,71.8,25.53,26.0,33.09,27.16,54.68,61.61,57.98,68.63,56.45,43.31
