name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Cristiane Justino,172.72,65.77,172.72,21,2,0,,2.25,,7.28,0.66,94.0,55.0,0.4,2.0,0.0,573.0,0.0,0.0,3.0,5.0,Orthodox,Cyborg,1985/07/09,"[""women's featherweight"", 'catch weight']",women's featherweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO']",['KO/TKO'],"[3.0, 1.0, 5.0, 3.0, 2.0, 1.0]",31.0,4,3,7,6,1.0,0.0,0.0,0.0,1.0,4,0,2,Unranked,Unranked
Danyelle Wolf,180.34,65.77,177.8,1,1,0,25.0,4.57,47.0,2.37,0.0,77.0,0.0,,0.0,0.0,0.0,20.0,95.0,0.0,0.0,Orthodox,,1983/09/08,"[""women's featherweight""]",women's featherweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Felicia Spencer,167.64,65.77,172.72,9,3,0,48.0,4.54,45.0,3.2099999999999995,1.18,27.0,18.0,0.20000000000000004,0.0,0.0,1427.0,102.0,246.0,6.0,32.0,Orthodox,FeeNom,1990/11/29,"[""women's featherweight""]",women's featherweight,"['KO/TKO', 'KO/TKO', 'Submission']","['Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 1.0, 1.0]",20.0,1,0,6,3,0.0,0.0,3.0,0.0,3.0,2,1,0,Unranked,Unranked
Leah Letson,170.18,65.77,180.34,5,3,0,41.0,3.84,52.0,3.06,0.51,76.0,50.0,,0.0,0.0,239.0,90.0,215.0,1.0,2.0,Southpaw,Nidas,1992/08/21,"[""women's featherweight""]",women's featherweight,['Decision - Split'],['KO/TKO'],[3.0],6.0,0,0,2,1,1.0,0.0,0.0,0.0,1.0,0,0,1,Unranked,Unranked
Megan Anderson,182.88,65.77,182.88,11,5,0,46.0,3.35,37.0,1.76,0.52,53.0,25.0,0.5,1.0,1.0,219.0,31.0,72.0,1.0,4.0,Orthodox,,1990/02/11,"[""women's featherweight""]",women's featherweight,"['KO/TKO', 'Submission', 'KO/TKO']","['Submission', 'Submission', 'Decision - Unanimous']","[1.0, 1.0, 1.0]",20.0,1,0,6,3,0.0,2.0,1.0,0.0,3.0,2,1,0,Unranked,Unranked
Norma Dumont,170.18,61.23,170.18,12,2,0,50.0,2.16,65.0,3.8600000000000003,1.72,72.0,56.0,0.0,2.0,0.0,2431.0,464.0,932.0,17.0,30.0,Orthodox,The Immortal,1990/10/01,"[""women's bantamweight"", ""women's featherweight""]",women's featherweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous']","['Decision - Split', 'KO/TKO']","[3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0]",32.0,0,0,10,8,1.0,0.0,1.0,0.0,2.0,0,0,8,Unranked,4.0
Ramona Pascual,170.18,61.23,167.64,6,5,0,57.0,8.43,46.0,3.8699999999999997,1.8099999999999998,100.0,19.0,0.0,0.0,0.0,306.0,65.0,114.0,4.0,21.0,Southpaw,,1988/09/23,"[""women's featherweight"", ""women's bantamweight""]",women's featherweight,[],"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']",[],9.0,0,0,3,0,1.0,0.0,2.0,0.0,3.0,0,0,0,Unranked,Unranked
Zarah Fairn,172.72,61.23,182.88,6,6,0,31.0,7.4,45.0,4.55,0.0,60.0,0.0,0.0,0.0,0.0,35.0,132.0,284.0,0.0,2.0,Orthodox,Infinite,1983/12/10,"['catch weight', ""women's featherweight""]",women's featherweight,[],"['Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Submission']",[],12.0,0,0,4,0,1.0,1.0,2.0,0.0,4.0,0,0,0,Unranked,Unranked
