name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Richie Vaculik,167.64,56.7,175.26,10,4,0,,4.09,,3.69,3.0,31.0,45.0,1.0,0.0,3.0,536.0,0.0,0.0,9.0,20.0,Orthodox,Vas,1983/06/19,['flyweight'],flyweight,['Decision - Unanimous'],"['Decision - Unanimous', 'KO/TKO', 'KO/TKO']",[3.0],12.0,0,0,4,1,2.0,0.0,1.0,0.0,3.0,0,0,1,Unranked,Unranked
Robert Sanchez,167.64,56.70000000000001,167.64,8,2,0,40.0,1.78,46.0,0.96,3.61,50.0,62.0,0.7,0.0,1.0,515.0,2.0,6.0,5.0,8.0,Orthodox,Littlefury,1986/03/05,['flyweight'],flyweight,['Submission'],"['Decision - Split', 'Submission']",[1.0],9.0,0,0,3,1,0.0,1.0,1.0,0.0,2.0,0,1,0,Unranked,Unranked
Rogerio Bontorin,165.1,56.70000000000001,170.18,16,4,0,52.0,3.27,50.0,2.63,2.9,51.0,60.0,1.0,0.0,2.0,1154.0,140.0,259.0,13.0,21.0,Orthodox,,1992/04/25,"['flyweight', 'bantamweight']",flyweight,"[""TKO - Doctor's Stoppage"", 'Decision - Split']","['KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'Overturned']","[1.0, 3.0]",18.0,0,0,6,2,1.0,0.0,2.0,1.0,3.0,1,0,1,Unranked,6.0
Roldan Sangcha'an,162.56,56.7,,4,2,0,46.0,2.15,51.0,2.71,1.94,68.0,60.0,0.0,0.0,0.0,188.0,36.0,81.0,3.0,5.0,Orthodox,The Executioner,1990/12/04,['flyweight'],flyweight,[],"['Submission', 'Decision - Unanimous']",[],6.0,0,0,2,0,0.0,1.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Ronaldo Rodriguez,167.64,56.70000000000001,165.1,17,3,0,,3.7999999999999994,,2.7099999999999995,1.09,64.0,36.0,0.8000000000000002,0.0,1.0,787.0,0.0,0.0,2.0,7.0,Orthodox,Lazy Boy,1999/05/07,['flyweight'],flyweight,"['Decision - Unanimous', 'Submission']",['Decision - Unanimous'],"[3.0, 2.0]",9.0,0,0,3,2,0.0,0.0,1.0,0.0,1.0,0,1,1,Unranked,Unranked
Ryan Benoit,165.1,56.7,172.72,10,8,0,39.0,3.6500000000000004,58.0,2.88,0.28,72.0,22.0,0.4000000000000001,5.0,0.0,367.0,193.0,502.0,2.0,9.0,Orthodox,Baby Face,1989/08/25,"['flyweight', 'bantamweight']",flyweight,"['KO/TKO', 'Decision - Split', 'KO/TKO']","['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Split', 'Submission', 'Submission']","[3.0, 3.0, 2.0]",27.0,0,0,9,3,0.0,2.0,4.0,0.0,6.0,2,0,1,Unranked,7.0
Sergio Pettis,167.64000000000001,56.7,175.26,18,5,0,37.0,2.91,65.0,3.88,0.85,67.0,40.0,0.4000000000000001,1.0,2.0,1094.0,439.0,1191.0,12.0,30.0,Orthodox,,1993/08/18,"['flyweight', 'bantamweight']",flyweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission']","[3.0, 5.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",44.0,0,0,14,9,1.0,1.0,3.0,0.0,5.0,0,0,9,Unranked,2.0
Shane Howell,172.72,56.7,,13,10,0,32.0,2.55,42.0,1.27,0.0,20.0,0.0,,0.0,0.0,15.0,22.0,67.0,0.0,0.0,Orthodox,,1983/11/28,['flyweight'],flyweight,[],"['Decision - Unanimous', 'Submission']",[],6.0,0,0,2,0,0.0,1.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Shannon Ross,167.64,56.70000000000001,167.64,13,9,0,39.0,7.39,55.0,5.96,0.0,100.0,0.0,0.0,0.0,0.0,0.0,47.0,115.0,0.0,0.0,Switch,The Turkish Delight,1989/05/12,['flyweight'],flyweight,[],"['KO/TKO', 'KO/TKO', 'KO/TKO']",[],9.0,0,0,3,0,3.0,0.0,0.0,0.0,3.0,0,0,0,Unranked,Unranked
Steve Erceg,172.72,56.70000000000001,172.72,12,4,0,46.0,4.03,52.0,4.45,0.84,63.0,26.0,0.3,1.0,1.0,515.0,324.0,732.0,5.0,19.0,Orthodox,Astroboy,1995/07/27,['flyweight'],flyweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']","['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']","[3.0, 2.0, 3.0]",22.0,1,0,6,3,1.0,0.0,2.0,0.0,3.0,1,0,2,Unranked,7.0
Stewart Nicoll,165.1,56.7,165.1,8,1,0,,1.13,,3.02,5.66,0.0,100.0,0.0,0.0,0.0,124.0,0.0,0.0,1.0,1.0,Orthodox,Kakamora,1994/11/04,['flyweight'],flyweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Sumudaerji,172.72,56.7,182.88,17,7,0,51.0,2.63,60.0,4.4,0.18,67.0,25.0,0.7,2.0,2.0,429.0,143.0,252.0,1.0,4.0,Southpaw,The Tibetan Eagle,1996/01/20,"['flyweight', 'bantamweight']",flyweight,"['Decision - Split', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']","['Submission', 'Decision - Unanimous', 'Submission', 'Submission']","[3.0, 3.0, 1.0, 3.0]",24.0,0,0,8,4,0.0,3.0,1.0,0.0,4.0,1,0,3,Unranked,11.0
Tagir Ulanbekov,170.18,56.7,177.8,17,2,0,49.0,3.36,52.0,3.37,2.94,62.0,38.0,1.6,1.0,8.0,2334.0,136.0,308.0,17.0,44.0,Southpaw,,1991/08/07,['flyweight'],flyweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Submission', 'Decision - Split', 'Decision - Unanimous']",['Decision - Unanimous'],"[3.0, 3.0, 2.0, 1.0, 3.0, 3.0]",21.0,0,0,7,6,0.0,0.0,1.0,0.0,1.0,0,2,4,Unranked,10.0
Tatsuro Taira,170.18,56.7,177.8,16,1,0,60.0,2.69,46.0,2.9899999999999998,2.73,45.0,44.0,1.6,2.0,8.0,2615.0,73.0,165.0,15.0,34.0,Orthodox,,2000/01/27,"['flyweight', 'catch weight']",flyweight,"['KO/TKO', 'Decision - Unanimous', 'Submission', 'Submission', 'Decision - Unanimous', 'KO/TKO']",['Decision - Split'],"[2.0, 3.0, 1.0, 2.0, 3.0, 2.0]",25.0,0,0,7,6,0.0,0.0,1.0,0.0,1.0,2,2,2,Unranked,5.0
Tim Elliott,170.18,56.7,167.64,21,13,1,44.0,2.66,56.0,3.3899999999999997,3.7299999999999995,59.0,47.0,1.0,2.0,8.0,4699.0,397.0,793.0,61.0,129.0,Southpaw,,1986/12/24,"['bantamweight', 'flyweight']",flyweight,"['Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","['Submission', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous']","[1.0, 3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 3.0, 3.0]",62.0,1,0,20,9,0.0,5.0,6.0,0.0,11.0,0,2,7,Unranked,5.0
Tyson Nam,170.18,56.7,172.72,21,14,1,33.0,4.97,65.0,3.87,0.0,87.0,0.0,0.0,3.0,0.0,157.0,161.0,541.0,0.0,4.0,Orthodox,,1983/10/06,"['flyweight', 'bantamweight']",flyweight,"['KO/TKO', 'KO/TKO', 'KO/TKO']","['Decision - Split', 'Submission', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous']","[2.0, 1.0, 1.0]",24.0,0,0,8,3,0.0,1.0,4.0,0.0,5.0,3,0,0,Unranked,13.0
Ulysses Gomez,167.64,56.7,,9,5,0,25.0,3.57,68.0,2.72,0.0,0.0,0.0,,0.0,0.0,31.0,51.0,202.0,0.0,8.0,Orthodox,Useless,1983/05/25,['flyweight'],flyweight,[],"['Decision - Unanimous', 'KO/TKO']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,10.0
Victor Altamirano,172.72,56.70000000000001,177.80000000000004,12,5,0,53.0,3.82,53.0,4.58,2.8800000000000003,63.0,38.0,0.0,1.0,0.0,872.0,148.0,299.0,14.0,39.0,Switch,El Magnifico,1991/01/23,['flyweight'],flyweight,"['Decision - Unanimous', 'KO/TKO']","['Decision - Split', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 1.0]",18.0,0,0,6,2,0.0,0.0,4.0,0.0,4.0,1,0,1,Unranked,Unranked
Vinicius Salvador,170.18,61.23,177.80000000000004,14,7,0,43.0,6.5,48.0,5.48,0.36000000000000004,86.0,11.0,,0.0,0.0,22.0,152.0,359.0,1.0,8.0,Southpaw,,1996/07/24,"['bantamweight', 'flyweight']",flyweight,[],"['KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']",[],9.0,0,0,3,0,1.0,0.0,2.0,0.0,3.0,0,0,0,Unranked,Unranked
Willie Gates,172.72,56.7,182.88,12,7,0,38.0,4.28,38.0,1.8,0.0,67.0,0.0,,2.0,0.0,400.0,67.0,172.0,0.0,0.0,Orthodox,,1987/01/21,['flyweight'],flyweight,['KO/TKO'],"['Submission', 'KO/TKO', 'Submission']",[1.0],12.0,0,0,4,1,1.0,2.0,0.0,0.0,3.0,1,0,0,Unranked,Unranked
Wilson Reis,162.56,56.7,165.09999999999997,23,10,0,29.0,3.04,55.0,1.8299999999999998,5.15,47.0,42.0,0.6,0.0,5.0,3420.0,166.0,576.0,51.0,119.0,Southpaw,,1985/01/06,"['flyweight', 'bantamweight']",flyweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous']","['KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'Decision - Unanimous', 'Decision - Split']","[3.0, 3.0, 1.0, 3.0, 3.0, 1.0, 3.0]",41.0,1,0,13,7,2.0,1.0,3.0,0.0,6.0,0,2,5,Unranked,3.0
Yao Zhikui,165.1,56.7,162.56,2,4,0,21.0,2.82,48.0,1.44,0.66,58.0,16.0,0.0,0.0,0.0,393.0,9.0,108.0,2.0,12.0,Orthodox,The Conqueror,1991/02/07,"['flyweight', 'bantamweight']",flyweight,['Decision - Split'],"['Decision - Unanimous', 'KO/TKO', 'Decision - Split']",[3.0],12.0,0,0,4,1,1.0,0.0,2.0,0.0,3.0,0,0,1,Unranked,Unranked
Yasuhiro Urushitani,165.1,56.7,,21,8,6,39.0,4.71,65.0,3.47,0.0,80.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,1.0,Southpaw,,1976/09/08,['flyweight'],flyweight,[],"['Decision - Unanimous', 'KO/TKO']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Yuta Sasaki,177.8,56.7,180.34,21,6,2,41.0,2.5,50.0,2.16,3.03,41.0,43.0,1.2,0.0,1.0,795.0,132.0,313.0,13.0,30.0,Southpaw,Ulka,1989/10/07,"['flyweight', 'bantamweight']",flyweight,"['Submission', 'Submission', 'Submission', 'Submission']","['Submission', 'Submission', 'Decision - Unanimous', 'KO/TKO', 'Submission']","[2.0, 2.0, 2.0, 1.0]",27.0,0,0,9,4,1.0,3.0,1.0,0.0,5.0,0,4,0,Unranked,Unranked
Zach Makovsky,162.56,56.7,162.56,20,8,0,43.0,2.24,62.0,1.94,3.71,56.0,30.0,0.3,0.0,1.0,1547.0,128.0,331.0,26.0,85.0,Southpaw,Fun Size,1983/04/19,['flyweight'],flyweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","['Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 3.0, 3.0]",21.0,0,0,7,3,0.0,0.0,4.0,0.0,4.0,0,0,3,Unranked,6.0
Zarrukh Adashev,165.1,56.7,165.1,4,4,0,40.0,3.04,64.0,3.65,0.0,100.0,0.0,,0.0,0.0,47.0,115.0,285.0,0.0,5.0,Southpaw,The Lion,1992/07/29,"['flyweight', 'bantamweight']",flyweight,['Decision - Unanimous'],"['KO/TKO', 'Decision - Unanimous', 'KO/TKO']",[3.0],12.0,0,0,4,1,2.0,0.0,1.0,0.0,3.0,0,0,1,Unranked,Unranked
Zhalgas Zhumagulov,162.56,56.7,167.64000000000001,14,9,0,43.0,5.86,52.0,5.24,1.3,75.0,19.0,0.2,0.0,1.0,533.0,312.0,676.0,7.0,36.0,Switch,,1988/08/29,['flyweight'],flyweight,['Submission'],"['Decision - Split', 'Decision - Split', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']",[1.0],21.0,0,0,7,1,1.0,0.0,5.0,0.0,6.0,0,1,0,Unranked,Unranked
