name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Marnic Mann,The Sawed-Off Savage,Southpaw,80,31.62,55.58,34.05,60.79,34.5,0.05,0.0,23.43,6,3,0,6,3,0,2,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1993/03/05,10.22,1.16,51.23,0.0,0.0,42.87,40.87,5.19,33.0,5.38,24.98,7.15,11.11,0.0,100.0,11.11
Heather Clark,Hurricane,Orthodox,81,31.14,66.69,16.86,0.0,66.05,8.11,25.0,68.68,7,6,0,7,6,0,3,0,Unranked,10.0,"[""women's strawweight""]",women's strawweight,1980/09/19,43.55,13.64,70.74,0.0,47.5,34.47,7.09,17.78,4.02,23.6,79.99,0.0,,0.0,100.0,40.74
Montserrat Conejo Ruiz,,Southpaw,82,31.08,45.94,64.95,0.0,33.5,3.35,25.0,46.08,10,4,0,10,4,0,4,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1993/02/03,0.0,4.27,17.06,0.0,15.01,44.72,44.09,4.44,82.99,21.1,33.0,0.0,,0.0,100.0,0.0
Emily Kagan,,Unknown,83,30.43,55.6,30.59,55.7,35.77,0.05,0.0,69.4,3,3,0,3,3,0,2,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1981/07/14,27.18,3.22,39.03,0.0,17.5,39.6,40.0,15.56,14.0,15.91,49.99,0.0,0.0,0.0,79.99,0.0
Pearl Gonzalez,,Orthodox,84,30.11,55.36,22.9,58.19,41.85,0.05,0.0,77.77,6,3,0,6,3,0,2,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1986/08/12,21.63,4.51,41.46,0.0,65.0,58.54,22.38,13.33,11.02,17.83,0.0,0.0,13.89,0.0,79.99,0.0
Jocelyn Jones-Lybarger,,Orthodox,85,29.99,54.37,17.75,55.7,50.19,0.1,0.0,19.17,6,4,0,6,4,0,3,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1985/10/04,32.59,13.76,26.84,0.0,62.5,46.75,7.32,2.96,24.99,6.59,81.0,0.0,0.0,0.0,79.99,0.0
Miranda Granger,Danger,Orthodox,86,29.62,62.51,2.06,53.32,47.23,3.35,25.0,12.0,7,3,0,7,3,0,4,0,Unranked,Unranked,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,1992/04/13,30.03,3.42,65.85,0.0,65.0,81.83,0.0,0.0,0.0,5.49,33.0,0.0,0.0,0.0,60.0,0.0
Istela Nunes,,Orthodox,87,29.02,69.5,2.2,55.7,48.58,0.19,0.0,9.51,6,6,0,6,6,0,5,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1992/07/23,52.4,5.16,65.85,14.64,70.01,58.54,0.0,0.74,0.0,5.47,46.98,0.0,0.0,0.0,79.99,0.0
Angela Magana,Your Majesty,Orthodox,88,27.29,48.58,20.39,58.41,35.8,0.1,0.0,36.15,11,9,0,11,9,0,3,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1983/08/02,11.1,7.1,19.51,0.0,27.5,45.34,8.61,2.96,24.99,12.42,27.99,7.15,11.11,0.0,79.99,0.0
Puja Tomar,Cyclone,Southpaw,89,25.65,73.81,0.76,0.0,54.04,3.26,25.0,8.83,9,5,0,9,5,0,2,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1993/12/05,72.38,10.93,68.3,14.64,37.5,31.36,0.0,0.0,0.0,2.03,100.0,0.0,,0.0,79.99,16.67
