name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Enson Inoue,Yamato Damashii,Orthodox,403,15.23,0.0,0.0,62.52,0.0,2.69,93.02,0.0,12,8,0,12,8,0,1,0,Unranked,Unranked,['lightweight'],lightweight,1967/04/15,18.67,0.0,,0.0,,86.37,0.0,0.0,0.0,0.0,33.01,4.73,0.0,10.85,100.0,100.0
Joao Roque,,Orthodox,404,15.0,45.96,1.84,0.0,35.13,0.0,0.0,2.8,7,2,4,7,2,4,1,0,Unranked,Unranked,['lightweight'],lightweight,1971/07/22,0.0,3.34,0.0,0.0,0.0,100.0,0.0,10.12,0.0,0.21,0.0,0.0,,0.0,100.0,11.11
Alfonso Alcarez,,Unknown,405,14.84,45.98,1.08,0.0,35.13,0.0,0.0,33.3,1,3,1,1,3,1,1,0,Unranked,Unranked,['lightweight'],lightweight,1970/06/10,0.0,3.51,0.0,0.0,0.0,100.0,0.0,1.13,0.0,1.69,0.0,0.0,,0.0,100.0,11.11
Gerald Strebendt,The Finishing Machine,Orthodox,405,14.84,45.72,0.0,0.0,36.7,0.0,0.0,0.0,9,7,0,9,7,0,1,0,Unranked,Unranked,['lightweight'],lightweight,1979/03/01,0.0,0.0,0.0,0.0,37.99,71.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Marcelo Mello,,Southpaw,407,14.83,0.0,0.21,59.07,0.0,2.69,93.02,0.0,1,0,0,1,0,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.0,,0.0,,100.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Townsend Saunders,,Orthodox,408,14.82,46.11,0.87,0.0,35.13,0.04,0.0,0.0,0,2,0,0,2,0,2,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,5.49,0.0,0.0,0.0,100.0,0.0,5.06,0.0,0.0,0.0,0.0,,0.0,100.0,11.11
Cesar Marscucci,,Unknown,409,14.78,0.0,0.0,59.07,0.0,2.69,93.02,0.0,3,2,0,3,2,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.0,,0.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Yuri Vaulin,,Southpaw,410,14.55,45.73,0.0,0.0,35.13,0.0,0.0,0.0,0,1,0,0,1,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.28,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,11.11
Joe Veres,,Orthodox,411,14.44,45.76,1.11,0.0,33.04,0.04,0.0,1.66,4,3,0,4,3,0,2,0,Unranked,Unranked,['lightweight'],lightweight,1977/11/09,0.0,0.56,0.0,0.0,26.99,59.76,0.0,5.63,0.0,0.26,0.0,0.0,,0.0,100.0,0.0
Royce Alger,,Orthodox,412,14.07,45.85,1.93,0.0,29.9,0.04,0.0,20.19,3,2,0,3,2,0,2,0,Unranked,Unranked,"['middleweight', 'lightweight']",lightweight,,0.0,1.82,0.0,0.0,0.0,100.0,0.0,5.06,0.0,2.04,0.0,0.0,,0.0,82.77,0.0
