name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Humberto Bandenay,,Southpaw,110,42.69,61.7,40.52,58.37,43.79,3.11,93.02,11.23,14,7,0,14,7,0,4,0,Unranked,Unranked,['featherweight'],featherweight,1994/09/04,16.55,4.38,47.7,7.31,29.53,57.55,34.57,9.47,45.99,4.08,62.01,0.0,9.86,0.0,100.0,13.89
Herbert Burns,The Blaze,Orthodox,111,42.63,58.6,39.05,68.2,37.51,6.17,93.02,16.73,11,6,0,11,6,0,6,0,Unranked,Unranked,"['featherweight', 'catch weight']",featherweight,1988/02/02,13.26,8.67,40.0,7.31,29.53,53.31,35.05,16.76,34.0,9.13,65.99,6.48,35.48,17.26,100.0,0.0
Robert Whiteford,The Hammer,Southpaw,112,42.61,64.84,33.22,53.71,62.4,6.13,58.14,26.8,14,4,0,14,4,0,5,0,Unranked,Unranked,['featherweight'],featherweight,1983/04/12,17.56,7.75,55.39,7.31,77.26,88.91,22.65,16.76,30.0,12.19,44.99,0.0,0.0,0.0,78.84,31.11
Ricky Glenn,The Gladiator,Southpaw,113,42.58,72.13,28.5,58.02,56.77,12.36,40.7,25.14,22,9,2,22,9,2,11,0,Unranked,Unranked,"['lightweight', 'featherweight', 'welterweight']",featherweight,1989/04/12,30.9,43.5,49.24,21.93,52.27,63.05,8.58,32.81,12.99,25.17,69.0,0.0,7.88,0.0,100.0,29.29
SeungWoo Choi,Sting,Orthodox,114,42.44,70.96,41.7,50.8,46.22,12.36,40.7,20.95,11,8,0,11,8,0,11,0,Unranked,Unranked,['featherweight'],featherweight,1992/11/03,28.81,20.27,43.07,36.55,43.18,75.81,9.9,8.01,53.99,20.97,69.99,0.0,0.0,0.0,57.7,8.08
Kyle Nelson,The Monster,Switch,115,42.21,67.0,30.39,58.42,50.53,12.31,58.14,23.83,16,6,1,16,6,1,10,0,Unranked,Unranked,"['featherweight', 'lightweight']",featherweight,1991/04/20,28.35,29.92,53.85,0.0,52.27,58.34,12.63,24.79,19.99,21.68,73.0,25.88,11.83,0.0,78.84,15.56
Nad Narimani,Smiler,Orthodox,116,42.11,63.66,39.61,56.64,64.47,6.08,23.26,43.65,12,4,0,12,4,0,4,0,Unranked,Unranked,"['featherweight', 'catch weight']",featherweight,1987/04/14,26.7,13.17,49.24,0.0,68.18,77.6,22.9,12.4,41.01,15.88,69.99,0.0,0.0,0.0,100.0,36.11
Hakeem Dawodu,Mean,Orthodox,117,41.56,74.91,7.52,53.71,72.11,18.26,34.88,15.43,13,4,1,13,4,1,10,0,Unranked,15.0,['featherweight'],featherweight,1991/07/02,46.08,22.51,61.55,7.31,63.63,73.45,0.0,1.46,0.0,14.03,64.99,0.0,0.0,0.0,78.84,56.67
Jim Alers,The Beast,Orthodox,118,41.29,63.32,39.46,57.68,63.35,3.11,23.26,33.35,13,3,0,13,3,0,4,0,Unranked,Unranked,['featherweight'],featherweight,1986/10/14,22.77,12.9,46.15,7.31,63.63,62.14,26.95,12.4,41.01,12.14,80.0,0.0,5.92,0.0,100.0,36.11
Teruto Ishihara,Yashabo,Southpaw,119,41.06,78.43,17.01,53.71,51.64,9.29,69.77,11.07,10,7,2,10,7,2,9,0,Unranked,Unranked,"['bantamweight', 'featherweight']",featherweight,1991/07/23,26.06,19.28,52.32,58.49,56.82,70.54,5.96,13.12,15.99,9.07,30.01,0.0,0.0,0.0,78.84,23.46
