name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Cody Haddon,,Orthodox,123,40.64,84.56,27.19,0.0,95.11,3.12,23.26,20.94,8,1,0,8,1,0,1,0,Unranked,Unranked,['bantamweight'],bantamweight,1998/09/08,96.85,17.64,70.98,0.0,73.47,75.78,36.72,2.57,36.99,1.78,83.01,0.0,,0.0,100.0,100.0
Ken Stone,,Southpaw,124,40.44,70.18,23.09,65.09,48.85,6.37,58.14,26.28,11,4,0,11,4,0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1982/10/08,40.53,2.65,67.75,0.0,40.82,80.47,18.36,3.2,32.99,8.89,59.99,8.17,,17.8,100.0,16.67
Carlos Vera,Pequeno,Orthodox,125,40.41,70.93,0.31,68.76,63.51,3.17,93.02,1.61,12,4,0,12,4,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1987/11/05,16.1,1.57,80.65,8.33,42.85,81.39,0.0,1.28,0.0,0.27,25.0,16.34,,17.8,100.0,55.56
Chad Anheliger,The Monster,Orthodox,126,40.35,70.98,20.7,58.06,55.51,6.42,58.14,25.4,13,8,0,13,8,0,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1986/12/01,32.74,9.75,62.91,16.67,51.02,81.63,10.07,7.03,30.0,10.74,38.0,16.34,,0.0,79.86,31.11
Ian Loveland,The Barn Owl,Orthodox,127,39.64,67.02,24.59,58.61,67.86,3.21,23.26,42.02,18,10,0,18,10,0,3,0,Unranked,Unranked,"['featherweight', 'bantamweight']",bantamweight,1983/09/07,28.52,12.09,53.22,16.67,73.47,84.92,14.81,5.12,36.99,10.68,69.0,0.0,,0.0,100.0,40.74
Cristian Quinonez,Problema,Orthodox,128,39.22,66.26,23.17,52.18,45.5,3.21,93.02,14.95,18,5,0,18,5,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1996/04/26,44.11,4.79,53.22,0.0,55.11,66.88,20.28,4.48,36.99,3.8,84.0,0.0,,0.0,59.72,0.0
Jean Matsumoto,,Orthodox,129,39.13,70.72,38.19,0.0,69.68,6.32,58.14,45.48,16,1,0,16,1,0,3,0,Unranked,Unranked,"['catch weight', 'bantamweight']",bantamweight,1999/09/09,54.53,26.28,54.83,0.0,34.69,59.87,40.44,13.42,46.99,11.55,56.99,0.0,,17.8,100.0,70.37
Cole Smith,The Cole Train,Orthodox,130,39.06,58.16,32.36,65.07,59.35,3.21,23.26,90.95,7,2,0,7,2,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1989/04/05,18.74,5.55,45.17,0.0,42.85,88.23,24.74,9.58,32.99,23.08,44.99,24.49,,0.0,100.0,40.74
Elijah Smith,Swift,Orthodox,131,38.73,66.08,41.24,0.0,85.84,3.12,23.26,39.8,8,1,0,8,1,0,1,0,Unranked,Unranked,['bantamweight'],bantamweight,2002/09/05,40.32,6.11,54.83,0.0,38.78,72.48,59.26,2.57,52.99,3.38,66.0,0.0,,0.0,100.0,100.0
Aleksandre Topuria,El Conquistador,Orthodox,132,38.65,68.9,26.99,0.0,100.0,3.12,23.26,69.48,6,1,0,6,1,0,1,0,Unranked,Unranked,['bantamweight'],bantamweight,1996/01/28,28.73,4.97,70.98,0.0,85.71,83.52,14.81,1.28,50.0,5.88,100.0,0.0,,0.0,100.0,100.0
Trevin Jones,5 Star,Southpaw,133,38.64,64.15,17.31,55.54,48.97,3.35,93.02,29.68,13,10,0,13,10,0,6,0,Unranked,Unranked,"['bantamweight', 'catch weight']",bantamweight,1990/08/04,22.41,12.97,48.39,16.67,22.45,69.01,9.18,12.78,15.0,15.06,59.99,0.0,,0.0,79.86,27.78
Johnny Eduardo,,Orthodox,134,38.16,67.76,10.29,51.36,49.91,14.35,69.77,3.31,28,13,0,28,13,0,8,0,Unranked,7.0,['bantamweight'],bantamweight,1978/08/03,31.05,21.54,51.61,16.67,71.44,77.83,3.25,3.2,20.0,2.24,58.01,8.17,,0.0,39.57,5.56
Hugo Viana,Wolverine,Orthodox,135,38.03,71.52,8.88,57.76,57.41,9.58,46.51,18.29,8,4,0,8,4,0,6,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1982/09/26,32.1,28.22,49.99,33.33,59.18,77.99,3.25,9.58,6.0,9.29,50.0,0.0,,0.0,100.0,29.63
Charalampos Grigoriou,Ferocious,Orthodox,136,37.69,68.6,47.81,54.97,42.59,0.05,0.0,51.53,8,5,0,8,5,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1992/03/31,27.58,2.39,66.13,8.33,36.75,71.65,38.8,3.2,80.0,8.72,90.01,0.0,,0.0,79.86,0.0
