name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Vernon White,Tiger,Southpaw,154,31.26,64.78,16.84,57.25,46.92,0.05,0.0,30.14,26,33,2,26,33,2,2,0,Unranked,Unranked,"['heavyweight', 'light heavyweight']",heavyweight,1971/12/03,17.62,2.77,44.19,0.0,77.14,81.35,9.86,6.1,28.0,5.48,44.02,0.0,,0.0,100.0,0.0
Mario Neto,Sukata,Orthodox,155,31.0,67.33,47.25,0.0,47.14,0.0,0.0,24.24,13,5,0,13,5,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,,15.78,1.51,58.13,0.0,100.0,83.98,31.8,1.01,100.0,2.21,0.0,0.0,,0.0,100.0,0.0
Tom Murphy,,Southpaw,156,30.44,0.0,65.84,67.47,0.0,3.08,93.02,100.0,8,0,0,8,0,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1974/11/19,20.87,0.0,,0.0,,98.55,84.1,7.13,85.02,9.07,0.0,15.34,,0.0,100.0,100.0
Rizvan Kuniev,,Orthodox,157,30.11,74.64,31.93,0.0,53.59,0.0,0.0,5.3,12,3,1,12,3,1,1,0,Unranked,15.0,['heavyweight'],heavyweight,1992/03/10,37.15,8.08,67.43,0.0,64.28,79.23,16.24,0.0,75.0,0.48,90.0,0.0,,0.0,100.0,11.11
Alan Baudot,The Black Samourai,Orthodox,158,30.02,78.5,1.46,57.25,44.97,0.14,0.0,8.4,8,3,0,8,3,0,4,0,Unranked,Unranked,['heavyweight'],heavyweight,1988/02/01,44.73,14.51,67.43,7.26,65.7,59.14,0.0,0.0,0.0,3.06,62.01,0.0,,0.0,100.0,0.0
Sherman Pendergarst,The Tank,Orthodox,159,29.63,62.48,55.08,0.0,34.79,0.0,0.0,33.4,11,18,0,11,18,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1967/08/01,10.27,0.82,41.85,0.0,22.86,73.89,51.73,1.01,100.0,3.04,0.0,0.0,,0.0,100.0,0.0
Raphael Pessoa,Bebezao,Orthodox,160,29.6,63.71,0.54,54.27,47.93,3.18,23.26,0.48,10,2,0,10,2,0,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1989/03/09,18.03,5.76,30.23,7.26,60.0,70.93,0.0,3.06,0.0,0.14,100.0,0.0,,0.0,77.87,0.0
Azunna Anyanwu,Zulu,Orthodox,161,29.45,66.75,36.92,0.0,51.75,0.0,0.0,0.0,14,5,0,14,5,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1981/08/05,20.62,6.29,48.83,0.0,98.58,79.07,7.29,0.0,100.0,0.0,0.0,0.0,,0.0,100.0,11.11
John Marsh,,Orthodox,162,28.96,65.09,37.6,0.0,49.86,0.0,0.0,32.79,8,7,0,8,7,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1970/09/15,6.93,2.63,48.83,7.26,57.14,81.1,4.81,1.01,100.0,2.97,54.02,0.0,,0.0,100.0,11.11
Brad Imes,Hillbilly Heartthrob,Orthodox,163,28.78,66.13,36.02,0.0,41.15,7.02,0.0,26.27,13,7,0,13,7,0,3,0,Unranked,Unranked,"['heavyweight', 'ultimate fighter 2 heavyweight tournament']",heavyweight,1977/03/13,22.8,27.9,36.04,0.0,69.99,64.06,19.27,7.13,71.0,7.16,0.0,0.0,,0.0,77.87,0.0
Mike Wessel,Juggernaut,Orthodox,164,28.69,68.76,46.35,0.0,33.98,0.0,0.0,48.27,15,8,0,15,8,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1977/12/02,15.2,1.73,65.11,0.0,31.43,45.5,70.43,6.1,50.0,4.39,0.0,0.0,,0.0,100.0,0.0
Ruan Potts,Fangzz,Orthodox,165,28.62,62.06,10.5,65.28,36.86,0.09,0.0,7.26,11,6,0,11,6,0,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1978/02/23,7.1,1.21,43.02,0.0,31.43,49.82,8.4,6.1,15.99,1.98,33.02,0.0,,0.0,100.0,0.0
